Run	cell_type	disease_status	Sample_Name	source_name
SRR16117933	neural progenitor cells	PD	GSM5603378	neural progenitor cells derived from human fibroblasts - 2B_NPC
SRR16117934	neural progenitor cells	healthy	GSM5603377	neural progenitor cells derived from human fibroblasts - 2K_NPC
SRR16117937	neural progenitor cells	PD	GSM5603374	neural progenitor cells derived from human fibroblasts - 1B_NPC
SRR16117941	neural progenitor cells	PD	GSM5603370	neural progenitor cells derived from human fibroblasts - 2B_NPC
SRR16117942	neural progenitor cells	healthy	GSM5603369	neural progenitor cells derived from human fibroblasts - 2K_NPC
SRR16117953	neural progenitor cells	PD	GSM5603358	neural progenitor cells derived from human fibroblasts - 1B_NPC
SRR16117954	neural progenitor cells	healthy	GSM5603357	neural progenitor cells derived from human fibroblasts - 1K_NPC
SRR16117938	neural progenitor cells	healthy	GSM5603373	neural progenitor cells derived from human fibroblasts - 1K_NPC
SRR16117945	neural progenitor cells	PD	GSM5603366	neural progenitor cells derived from human fibroblasts - 1B_NPC
SRR16117946	neural progenitor cells	healthy	GSM5603365	neural progenitor cells derived from human fibroblasts - 1K_NPC
SRR16117949	neural progenitor cells	PD	GSM5603362	neural progenitor cells derived from human fibroblasts - 2B_NPC
SRR16117950	neural progenitor cells	healthy	GSM5603361	neural progenitor cells derived from human fibroblasts - 2K_NPC
