gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	entrez	gene_name	direction
ENSG00000227081	841.624495328764	1.20422899829222	0.0562482007728335	21.4092003254588	1.09678486914442e-101	1.69343583795899e-97	NA	NA	NA	PD_up
ENSG00000244716	126.963046281708	2.71333097332984	0.145908927756451	18.5960586171868	3.45817842998323e-77	2.66971374794706e-73	RPL17P7	100132742	ribosomal protein L17 pseudogene 7	PD_up
ENSG00000086475	6455.52132020401	1.02160991992668	0.0553655841223413	18.452075167657	5.01806349079588e-76	2.58263000992961e-72	SEPHS1	22929	selenophosphate synthetase 1	PD_up
ENSG00000237515	393.745883052487	1.23637844521557	0.0733175774803864	16.863329200236	8.37366126554484e-64	3.23223324850031e-60	SHISA9	729993	shisa family member 9	PD_up
ENSG00000229814	67.9342516564957	2.93538972450057	0.208110299884194	14.1049709030933	3.53935224071701e-45	6.07195539963007e-42	NA	NA	NA	PD_up
ENSG00000196109	102.540554142076	-7.23073354914497	0.535008768060631	-13.5151683127659	1.2726430604906e-41	1.78632807763408e-38	ZNF676	163223	zinc finger protein 676	PD_down
ENSG00000163596	153.750585974956	-2.19953092604469	0.167337107009379	-13.1443106992486	1.83469799055144e-39	2.36064474784285e-36	ICA1L	130026	islet cell autoantigen 1 like	PD_down
ENSG00000230383	46.7914095732182	3.03674567627873	0.241118717229683	12.5944004313278	2.26675788347683e-36	2.49991012292016e-33	RPL6P19	646483	ribosomal protein L6 pseudogene 19	PD_up
ENSG00000263711	302.222736418834	-8.40970518235426	0.727399472758477	-11.5613297744946	6.46990328907429e-31	5.54973926573928e-28	LINC02864	400655	long intergenic non-protein coding RNA 2864	PD_down
ENSG00000139219	187.731260252441	-1.56020056920245	0.143038201193441	-10.9075796268752	1.06042117869525e-27	6.82204291627277e-25	COL2A1	1280	collagen type II alpha 1 chain	PD_down
ENSG00000241511	56.388645508672	-1.79870190936399	0.172661657473768	-10.4174947448148	2.06316185071624e-25	9.36918205148788e-23	RPS15AP24	648729	ribosomal protein S15a pseudogene 24	PD_down
ENSG00000178163	310.755999836119	-1.46762686578045	0.145682877503611	-10.074120520746	7.19011547568041e-24	2.58175309173269e-21	ZNF518B	85460	zinc finger protein 518B	PD_down
ENSG00000139364	1084.12860973833	1.1141788964441	0.113288337117781	9.83489496615823	7.96506777562921e-23	2.56209680116073e-20	TMEM132B	114795	transmembrane protein 132B	PD_up
ENSG00000205181	25.7150025792209	-4.10400518076887	0.417273709310594	-9.8352833864117	7.93439089069512e-23	2.56209680116073e-20	LINC00654	149837	long intergenic non-protein coding RNA 654	PD_down
