PC1	PC2	group	name	condition	pair	cell_line	sizeFactor
-3.13282365045658	5.57968733878969	PD:2	SRR16117935	PD	2	2B	0.952250691102387
-8.34417429218882	-3.76586362349747	Healthy:2	SRR16117936	Healthy	2	2K	1.18037357945195
3.61114700653311	2.98404655034262	PD:1	SRR16117939	PD	1	1B	0.958660437845709
6.99056408157749	-5.36924967634495	Healthy:1	SRR16117940	Healthy	1	1K	1.02645399646491
-3.33593947798239	4.58946522538013	PD:2	SRR16117943	PD	2	2B	0.991468398212252
-8.36225513775678	-3.61684076664817	Healthy:2	SRR16117944	Healthy	2	2K	1.00140000654896
5.46338131850005	4.2030934297137	PD:1	SRR16117947	PD	1	1B	1.03295519330773
6.59438678406804	-4.96010416372975	Healthy:1	SRR16117948	Healthy	1	1K	1.06048222862432
-3.0044621827143	4.69586557781187	PD:2	SRR16117951	PD	2	2B	0.966909290864551
-8.38400608195253	-3.66424324867922	Healthy:2	SRR16117952	Healthy	2	2K	0.927055580140491
5.4014737675942	4.16914576943318	PD:1	SRR16117955	PD	1	1B	0.969117454837707
6.50270786477851	-4.84500241257165	Healthy:1	SRR16117956	Healthy	1	1K	1.00455581094219
