ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0042274	ribosomal small subunit biogenesis	105	0.685802890734091	2.91900622614761	1e-10	7.70571428571429e-08	6.78496240601504e-08	2536	tags=61%, list=18%, signal=50%	6233/6206/6227/6208/6203/6217/6223/6207/10528/65083/6189/6193/3921/64745/6201/57647/4869/6209/10885/6228/51065/23212/6218/51406/27340/6234/92856/4809/55720/9277/6210/84916/51118/9136/26574/65095/6229/134430/25879/55813/79954/55127/55272/81554/27341/102157402/2197/56902/161424/10436/51504/8602/7520/57050/2091/6230/153443/11157/84128/51602/6838/11056/6202/27292
GO:0002181	cytoplasmic translation	202	0.60661143382326	2.81501433834494	1e-10	7.70571428571429e-08	6.78496240601504e-08	2291	tags=48%, list=16%, signal=40%	6129/6233/6231/6206/6144/6160/6227/6168/79727/6176/6222/6133/6208/6134/6164/6203/6217/200916/6223/6173/6207/6139/6146/9349/6175/6189/6193/3921/6201/4736/6209/56888/6228/6181/6156/6218/6234/6170/6142/2107/220717/6138/9045/6188/6154/1660/6210/10973/6224/8562/1936/10492/728689/3184/8663/1973/8894/10480/4686/6135/3192/6229/4733/6159/6235/55854/6161/6128/6165/6141/6122/170506/26986/6157/8890/8531/16/6155/51441/7311/6166/2197/6125/23057/6130/55364/54505/7812/10399/25873/1983/11224/6230/4904/55124/6132
GO:0042254	ribosome biogenesis	307	0.574698499298126	2.79494289356847	1e-10	7.70571428571429e-08	6.78496240601504e-08	3335	tags=55%, list=24%, signal=43%	6129/6233/6206/6227/6208/6203/6217/6223/10969/6207/708/3692/10528/65083/6175/6189/6193/3921/64745/6201/57647/22803/11137/4869/6209/10885/6228/5901/51065/23212/10514/51335/6218/51406/27340/22984/51187/6234/54680/92856/220717/4809/84154/9045/55720/6154/9277/6210/8451/51010/84916/23246/51118/9136/26574/65095/23404/84549/79707/6135/6229/1736/55003/9221/55695/56915/285855/51491/51154/29997/54552/6165/23076/54555/55651/55646/2752/9188/134430/25879/55813/54433/55341/79954/57109/55127/55272/6155/64216/81554/51441/54663/55794/90441/27341/10521/55027/10813/84881/92170/8886/102157402/2197/6125/7514/6130/54505/55006/22868/26155/56902/161424/23481/4927/55759/23560/51388/10436/51504/4931/8602/23517/7520/57050/23016/1983/11224/2091/6230/9816/153443/11157/55505/84128/51602/55011/6838/83743/11056/6202/80135/27292/92342/10600/51013/118460/54700/92345/85865/5822/79922/10799/56342/10438/51077/91582/11340/51018/83732/51121/23160/28987/51367/55781/54475/54913/10199/30836/64794
GO:0042273	ribosomal large subunit biogenesis	66	0.67388926899231	2.65163172549398	1e-10	7.70571428571429e-08	6.78496240601504e-08	2450	tags=61%, list=17%, signal=50%	6129/10969/3692/4869/23212/51187/54680/84154/9045/6154/23246/84549/79707/6135/55003/285855/51491/51154/29997/6165/81554/54663/55794/90441/55027/92170/8886/6125/6130/22868/26155/23481/55759/23560/51388/51504/4931/11224/6838/80135
GO:0006364	rRNA processing	217	0.563440146564806	2.63855645775007	1e-10	7.70571428571429e-08	6.78496240601504e-08	3316	tags=54%, list=23%, signal=42%	6129/6227/6208/6217/6223/10969/3692/10528/65083/6201/57647/22803/11137/6209/10885/23212/6218/51406/27340/22984/6234/54680/92856/4809/84154/9045/55720/6154/9277/51010/84916/23246/51118/9136/65095/23404/84549/79707/6135/6229/1736/55003/9221/55695/56915/285855/51154/29997/6165/23076/54555/55651/55646/9188/134430/25879/55813/54433/79954/57109/55127/55272/6155/64216/51441/54663/27341/10521/10813/84881/8886/102157402/6125/6130/55006/161424/23481/55759/23560/10436/51504/4931/8602/23517/57050/23016/11224/2091/6230/153443/11157/55505/84128/51602/55011/11056/6202/80135/27292/92342/51013/118460/92345/5822/79922/10799/56342/10438/51077/11340/51018/83732/23160/28987/51367/55781/54913/10199
GO:0022613	ribonucleoprotein complex biogenesis	450	0.521925405555068	2.62527939860505	1e-10	7.70571428571429e-08	6.78496240601504e-08	3414	tags=50%, list=24%, signal=39%	6129/6233/6206/6636/6227/6208/6203/3327/6217/8683/6223/10969/6207/708/3692/10528/65083/6175/6189/6193/11171/3921/64745/6201/1653/57647/22803/11137/6635/4869/6209/10885/6228/5901/51065/23212/10514/6632/51335/6218/51406/27340/6426/22984/51187/6234/58155/54680/92856/220717/4809/25804/84154/9045/55720/6154/9277/1660/6210/8562/8451/6637/10772/25929/728689/51010/8663/84916/23246/51118/9136/26574/65095/10658/8894/6628/10480/23404/10946/84549/79707/4686/6135/83443/6229/1736/55003/9221/55695/56915/285855/51491/51154/29997/54552/6165/121053/23076/54555/10728/6629/55651/55646/2752/9188/134430/27339/25879/55813/54433/55341/8607/79954/57109/7919/55127/55272/6155/64216/11338/81554/51441/54663/55794/90441/27341/10521/55027/10813/84881/92170/79084/8886/102157402/2197/6125/7514/6130/54505/55006/22868/26155/56902/161424/23481/4927/55759/23560/51388/10436/51504/4931/8602/23517/55692/7520/57050/23016/1983/11224/2091/6230/9816/153443/11157/55505/84128/51602/55011/6838/83743/11056/6202/8662/80135/8233/27292/92342/10600/51013/6634/118460/54700/10907/92345/7458/85865/8661/84844/5822/79922/10799/56342/10419/6431/28985/10438/51077/91582/11340/96764/8669/23405/51018/83732/10659/51639/51121/51340/6895/23160/28987/51367/55781/1207/54475/54913/10199/30836/64794/10421/3326/9879/9724/345630
GO:0016072	rRNA metabolic process	261	0.514969955552725	2.45972340760671	1e-10	7.70571428571429e-08	6.78496240601504e-08	3316	tags=50%, list=23%, signal=39%	6129/6227/6208/6217/6223/10969/3692/10528/65083/4609/84172/6201/57647/22803/11137/6209/10885/23212/6218/51406/27340/22984/6234/54680/92856/4809/84154/9045/55720/6154/9277/4691/51010/10849/84916/55106/23246/51118/9136/65095/23404/84549/79707/6135/6229/1736/55003/9221/55695/56915/285855/51154/29997/6165/23076/54555/55651/55646/9188/134430/25879/55813/10927/54433/79954/57109/55127/55272/6155/64216/51441/4141/54663/27341/10521/10813/84881/84365/8886/102157402/6125/6130/112495/55006/161424/23481/55759/23560/10436/51504/4931/8602/23517/57050/23016/11224/2091/6230/153443/11157/55505/84128/51602/55011/11056/6202/80135/27292/7150/7157/92342/51013/118460/92345/5822/79922/10799/56342/10438/51077/11340/25885/51018/83732/23160/28987/51367/55781/54913/10199
GO:0030490	maturation of SSU-rRNA	54	0.671137026295706	2.56162307775466	2.71850960414551e-10	1.83295510059511e-07	1.61393622814534e-07	3316	tags=69%, list=23%, signal=53%	6227/6208/6217/6223/57647/10885/23212/51406/27340/6234/92856/4809/55720/9277/84916/65095/25879/55813/79954/55127/55272/161424/51504/8602/57050/153443/11157/11056/6202/5822/10799/51077/83732/23160/28987/55781/10199
GO:0022618	protein-RNA complex assembly	191	0.458030408306369	2.11749342103548	1.63623462531446e-09	9.80649952105131e-07	8.6347258823612e-07	3392	tags=45%, list=24%, signal=34%	6636/6208/3327/8683/6223/3692/11171/3921/64745/1653/6635/6209/51065/23212/6632/6426/6234/58155/54680/4809/25804/84154/1660/8562/6637/10772/25929/728689/8663/23246/10658/8894/6628/10480/10946/4686/6135/83443/1736/51154/29997/121053/10728/6629/27339/8607/7919/11338/81554/55794/27341/92170/79084/2197/6125/54505/22868/4931/55692/7520/1983/55011/8662/8233/6634/10907/92345/7458/8661/84844/5822/10419/6431/28985/96764/8669/23405/10659/51639/51340/6895/1207/10421/3326/9879
GO:0071826	protein-RNA complex organization	200	0.443812897806337	2.06818230978008	1.88910340270082e-09	1.01898237541682e-06	8.9722468978801e-07	3392	tags=43%, list=24%, signal=33%	6636/6208/3327/8683/6223/3692/11171/3921/64745/1653/6635/6209/51065/23212/6632/6426/6234/58155/54680/4809/25804/84154/1660/8562/6637/10772/25929/728689/8663/23246/10658/8894/6628/10480/10946/4686/6135/83443/1736/51154/29997/121053/10728/6629/27339/8607/7919/11338/81554/55794/27341/92170/79084/2197/6125/54505/22868/4931/7415/55692/7520/1983/55011/8662/8233/6634/10907/92345/7458/8661/84844/5822/10419/6431/28985/96764/8669/23405/10659/51639/51340/6895/1207/10421/3326/9879
