ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0048562	embryonic organ morphogenesis	10/85	182/12211	0.0549450549450549	7.89334195216548	7.84439162127523	5.02818288943195e-07	0.000923174378499707	0.000784925813160799	USH1C/MEF2C/MYO15A/BMP7/COL2A1/ZEB1/NODAL/BBS5/PDZD7/DLL1	10
GO:0048705	skeletal system morphogenesis	8/85	141/12211	0.0567375886524823	8.1508552357113	7.15026965201989	5.89411096213185e-06	0.00461760637173288	0.00392610380075671	MEF2C/BMP7/TRPV4/COL2A1/CER1/ZEB1/NODAL/COL3A1	8
GO:0048598	embryonic morphogenesis	13/85	439/12211	0.0296127562642369	4.25413372638349	5.81367891419422	9.79654583045328e-06	0.00461760637173288	0.00392610380075671	USH1C/MEF2C/MYO15A/BMP7/KDM6B/COL2A1/CER1/ZEB1/NODAL/BBS5/ZEB2/PDZD7/DLL1	13
GO:0048568	embryonic organ development	11/85	312/12211	0.0352564102564103	5.06489441930618	6.08947493820213	1.00601446007252e-05	0.00461760637173288	0.00392610380075671	USH1C/MEF2C/MYO15A/BMP7/PCDH12/COL2A1/ZEB1/NODAL/BBS5/PDZD7/DLL1	11
GO:0060350	endochondral bone morphogenesis	5/85	47/12211	0.106382978723404	15.2828535669587	8.21361268593631	1.76916712934597e-05	0.00541365141579868	0.00460293833828084	MEF2C/TRPV4/COL2A1/CER1/COL3A1	5
GO:0061371	determination of heart left/right asymmetry	5/85	47/12211	0.106382978723404	15.2828535669587	8.21361268593631	1.76916712934597e-05	0.00541365141579868	0.00460293833828084	MEF2C/CER1/NODAL/BBS5/DLL1	5
GO:0007389	pattern specification process	10/85	290/12211	0.0344827586206897	4.95375253549696	5.70506571470789	3.17435801037249e-05	0.00832588758149127	0.00707905703666526	MEF2C/BMP7/FEZF1/CER1/ZEB1/NODAL/BBS5/ZEB2/DLL1/ADGRG1	10
GO:0008285	negative regulation of cell population proliferation	13/85	498/12211	0.0261044176706827	3.75012993149067	5.24616958699101	3.70466268859053e-05	0.00850220087031526	0.00722896679892073	TP73/MEF2C/BMP7/CD37/CCL2/BCHE/FEZF1/CER1/ZEB1/NODAL/SLIT3/DLL1/ADGRG1	13
GO:0051216	cartilage development	7/85	142/12211	0.0492957746478873	7.08177299088649	6.1030544830805	5.74531314877044e-05	0.0117204388234917	0.00996526245570358	MEF2C/BMP7/TRPV4/COL2A1/CER1/ZEB1/COL3A1	7
GO:0030855	epithelial cell differentiation	12/85	464/12211	0.0258620689655172	3.71531440162272	4.99256975948719	8.31006402409205e-05	0.015257277548233	0.0129724473133984	USH1C/TP73/MEF2C/BMP7/UPK1A/KDM6B/ZEB1/NODAL/FN3K/ZEB2/PDZD7/DLL1	12
GO:0030856	regulation of epithelial cell differentiation	6/85	106/12211	0.0566037735849057	8.13163152053274	6.17401875528619	9.31370886886406e-05	0.0155454268029404	0.0132174452177277	TP73/BMP7/ZEB1/NODAL/ZEB2/DLL1	6
GO:0042472	inner ear morphogenesis	5/85	71/12211	0.0704225352112676	10.1168185584093	6.45017734412286	0.000131755309656141	0.018607903732975	0.0158213056048629	USH1C/MYO15A/COL2A1/ZEB1/PDZD7	5
GO:0060349	bone morphogenesis	5/85	71/12211	0.0704225352112676	10.1168185584093	6.45017734412286	0.000131755309656141	0.018607903732975	0.0158213056048629	MEF2C/TRPV4/COL2A1/CER1/COL3A1	5
GO:0048667	cell morphogenesis involved in neuron differentiation	12/85	500/12211	0.024	3.44781176470588	4.67923161145387	0.000168074528746774	0.0220417739127912	0.0187409418143959	USH1C/MAPK8IP2/MEF2C/BMP7/FEZF1/CHODL/ISLR2/ZEB2/SLIT3/PDZD7/MAPT/ARHGEF25	12
GO:0010758	regulation of macrophage chemotaxis	3/85	17/12211	0.176470588235294	25.3515570934256	8.41175498944395	0.000206293687512954	0.0252503473515855	0.0214690202513481	C5/CCL2/TRPV4	3
GO:0001947	heart looping	4/85	44/12211	0.0909090909090909	13.0598930481283	6.7094443243541	0.000240085194050584	0.0265194168567251	0.0225480421961491	MEF2C/NODAL/BBS5/DLL1	4
GO:0042471	ear morphogenesis	5/85	81/12211	0.0617283950617284	8.86782861292665	5.94806235761327	0.000245550156080788	0.0265194168567251	0.0225480421961491	USH1C/MYO15A/COL2A1/ZEB1/PDZD7	5
GO:0048704	embryonic skeletal system morphogenesis	4/85	45/12211	0.0888888888888889	12.7696732026144	6.62224536557024	0.000262118309122992	0.0267360675305451	0.0227322486800817	BMP7/COL2A1/ZEB1/NODAL	4
GO:0090596	sensory organ morphogenesis	7/85	189/12211	0.037037037037037	5.32069716775599	5.01192866891455	0.000339576558532777	0.0320714060042781	0.0272686017110104	USH1C/MYO15A/BMP7/COL2A1/ZEB1/PDZD7/DLL1	7
GO:0045664	regulation of neuron differentiation	6/85	135/12211	0.0444444444444444	6.38483660130719	5.26727962523731	0.0003493617211795	0.0320714060042781	0.0272686017110104	TP73/MEF2C/BMP7/FEZF1/ZEB1/DLL1	6
GO:0003143	embryonic heart tube morphogenesis	4/85	50/12211	0.08	11.4927058823529	6.22438389397443	0.000394586341022577	0.0324698108823442	0.0276073440766635	MEF2C/NODAL/BBS5/DLL1	4
GO:0003007	heart morphogenesis	7/85	194/12211	0.0360824742268041	5.183565797453	4.9176537960111	0.000397625036496818	0.0324698108823442	0.0276073440766635	MEF2C/BMP7/COL2A1/NODAL/BBS5/SLIT3/DLL1	7
GO:0007507	heart development	11/85	472/12211	0.0233050847457627	3.34798105682951	4.35570591418692	0.00041214384498312	0.0324698108823442	0.0276073440766635	TP73/MEF2C/BMP7/KDM6B/COL2A1/CER1/NODAL/BBS5/COL3A1/SLIT3/DLL1	11
GO:0048839	inner ear development	6/85	140/12211	0.0428571428571429	6.15680672268908	5.13785401341578	0.000424441972318225	0.0324698108823442	0.0276073440766635	USH1C/MYO15A/COL2A1/ZEB1/PDZD7/DLL1	6
GO:0003002	regionalization	8/85	261/12211	0.0306513409961686	4.40333558710841	4.65317717255851	0.000454725711887717	0.0329517320595014	0.0280170958859309	MEF2C/FEZF1/CER1/NODAL/BBS5/ZEB2/DLL1/ADGRG1	8
GO:0007368	determination of left/right symmetry	5/85	93/12211	0.0537634408602151	7.7235926628716	5.44923964592202	0.000466636728511458	0.0329517320595014	0.0280170958859309	MEF2C/CER1/NODAL/BBS5/DLL1	5
GO:1900746	regulation of vascular endothelial growth factor signaling pathway	3/85	23/12211	0.130434782608696	18.7381074168798	7.12875170797749	0.000521309274003829	0.0354490306322604	0.0301404153351922	ANGPT1/DLL1/ADGRG1	3
GO:0061448	connective tissue development	7/85	207/12211	0.0338164251207729	4.85802784882069	4.68701183849433	0.000586383531172055	0.035636527619797	0.0302998339984858	MEF2C/BMP7/TRPV4/COL2A1/CER1/ZEB1/COL3A1	7
GO:0009799	specification of symmetry	5/85	98/12211	0.0510204081632653	7.32953181272509	5.26704803522436	0.000593425392280592	0.035636527619797	0.0302998339984858	MEF2C/CER1/NODAL/BBS5/DLL1	5
GO:0009855	determination of bilateral symmetry	5/85	98/12211	0.0510204081632653	7.32953181272509	5.26704803522436	0.000593425392280592	0.035636527619797	0.0302998339984858	MEF2C/CER1/NODAL/BBS5/DLL1	5
GO:0060972	left/right pattern formation	5/85	100/12211	0.05	7.18294117647059	5.19772891720418	0.000650783030010424	0.035636527619797	0.0302998339984858	MEF2C/CER1/NODAL/BBS5/DLL1	5
GO:0014002	astrocyte development	3/85	25/12211	0.12	17.2390588235294	6.80469690011505	0.000670259457350903	0.035636527619797	0.0302998339984858	ZEB2/MAPT/DLL1	3
GO:0048246	macrophage chemotaxis	3/85	25/12211	0.12	17.2390588235294	6.80469690011505	0.000670259457350903	0.035636527619797	0.0302998339984858	C5/CCL2/TRPV4	3
GO:1902547	regulation of cellular response to vascular endothelial growth factor stimulus	3/85	25/12211	0.12	17.2390588235294	6.80469690011505	0.000670259457350903	0.035636527619797	0.0302998339984858	ANGPT1/DLL1/ADGRG1	3
GO:0021543	pallium development	6/85	153/12211	0.0392156862745098	5.63367935409458	4.82883722768898	0.000679345570094168	0.035636527619797	0.0302998339984858	TP73/KDM6B/HTR6/COL3A1/ZEB2/ADGRG1	6
GO:0060351	cartilage development involved in endochondral bone morphogenesis	3/85	26/12211	0.115384615384615	16.5760180995475	6.65639159084256	0.000753890907417487	0.0378573933822415	0.0321881174096228	TRPV4/COL2A1/CER1	3
GO:0043583	ear development	6/85	157/12211	0.0382165605095541	5.49014612214312	4.74081731072605	0.00077780028848992	0.0378573933822415	0.0321881174096228	USH1C/MYO15A/COL2A1/ZEB1/PDZD7/DLL1	6
GO:0045666	positive regulation of neuron differentiation	4/85	60/12211	0.0666666666666667	9.57725490196078	5.57604724002458	0.000792532998576697	0.0378573933822415	0.0321881174096228	MEF2C/BMP7/FEZF1/ZEB1	4
GO:0001501	skeletal system development	9/85	356/12211	0.0252808988764045	3.6318241903503	4.21929224239812	0.000804160316943038	0.0378573933822415	0.0321881174096228	MEF2C/BMP7/RAI1/TRPV4/COL2A1/CER1/ZEB1/NODAL/COL3A1	9
GO:1905521	regulation of macrophage migration	3/85	27/12211	0.111111111111111	15.962091503268	6.51610023378649	0.000843881939574689	0.0386527091325738	0.0328643318676797	C5/CCL2/TRPV4	3
GO:0021537	telencephalon development	7/85	221/12211	0.0316742081447964	4.55027947830716	4.45920666274776	0.000863159626598871	0.0386527091325738	0.0328643318676797	TP73/FEZF1/KDM6B/HTR6/COL3A1/ZEB2/ADGRG1	7
GO:0035050	embryonic heart tube development	4/85	63/12211	0.0634920634920635	9.12119514472456	5.4106113882943	0.000952916038594173	0.041656043972831	0.0354179068981243	MEF2C/NODAL/BBS5/DLL1	4
GO:0050767	regulation of neurogenesis	8/85	299/12211	0.0267558528428094	3.84371434192406	4.16809619054293	0.00110518762554097	0.0471149828204859	0.0400593507182551	TP73/BMP7/FEZF1/CHODL/ISLR2/ZEB2/MAPT/DLL1	8
GO:0060537	muscle tissue development	8/85	300/12211	0.0266666666666667	3.83090196078431	4.15642412717259	0.00112911723534934	0.0471149828204859	0.0400593507182551	MYOM2/TP73/MEF2C/BMP7/KDM6B/MYORG/COL3A1/DLL1	8
