ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	4/70	22/12211	0.181818181818182	31.7168831168831	10.9492423736665	6.70039466432987e-06	0.0059797565043698	0.0055315131938349	HRH3/CNR1/HTR1A/HTR1D	4
GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	7/70	139/12211	0.0503597122302158	8.78489208633093	7.00890229574873	1.40340568456808e-05	0.0059797565043698	0.0055315131938349	HRH3/CNR1/ADRA2A/GALR1/HTR1A/HTR1D/PDE4B	7
GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	6/70	93/12211	0.0645161290322581	11.2543778801843	7.53728505042335	1.4692276423513e-05	0.0059797565043698	0.0055315131938349	CNR1/ADRA2A/GALR1/HTR1A/HTR1D/PDE4B	6
GO:0046879	hormone secretion	8/70	222/12211	0.036036036036036	6.28622908622909	6.03546324552646	3.76816274333412e-05	0.00988152622625743	0.00914080575953638	TAC1/PTPRN/SLC16A10/KISS1R/ADRA2A/GALR1/HTR1A/FOXL2	8
GO:0009914	hormone transport	8/70	228/12211	0.0350877192982456	6.12080200501253	5.92655406351026	4.55445751059608e-05	0.00988152622625743	0.00914080575953638	TAC1/PTPRN/SLC16A10/KISS1R/ADRA2A/GALR1/HTR1A/FOXL2	8
GO:0006334	nucleosome assembly	5/70	70/12211	0.0714285714285714	12.4602040816327	7.30119191866896	4.85578684336974e-05	0.00988152622625743	0.00914080575953638	H2BC11/H4C8/H1-2/H3C8/H3C6	5
GO:0007186	G protein-coupled receptor signaling pathway	11/70	470/12211	0.0234042553191489	4.08270516717325	5.1749719216941	6.77354708804443e-05	0.0118150014207175	0.0109293474067243	TAC1/HRH3/KISS1R/CNR1/ADRA2A/GALR1/GAP43/HTR1A/HTR1D/PDE4B/RORB	11
GO:0034728	nucleosome organization	5/70	89/12211	0.0561797752808989	9.80016051364366	6.32671220874866	0.000153096615467684	0.0213031697635329	0.0197062814399507	H2BC11/H4C8/H1-2/H3C8/H3C6	5
GO:0010817	regulation of hormone levels	9/70	348/12211	0.0258620689655172	4.51145320197044	5.04613498782785	0.000157025821352823	0.0213031697635329	0.0197062814399507	TAC1/PTPRN/SLC16A10/KISS1R/NR5A2/ADRA2A/GALR1/HTR1A/FOXL2	9
GO:0023061	signal release	9/70	360/12211	0.025	4.36107142857143	4.915085939685	0.000202455629600819	0.02471983237426	0.0228668305854399	TAC1/PTPRN/HRH3/SLC16A10/KISS1R/ADRA2A/GALR1/HTR1A/FOXL2	9
GO:0007193	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway	4/70	55/12211	0.0727272727272727	12.6867532467532	6.59567876912182	0.000270915019249687	0.0278992357207558	0.0258079054514169	HRH3/ADRA2A/HTR1A/HTR1D	4
GO:0044057	regulation of system process	9/70	375/12211	0.024	4.18662857142857	4.75909335175761	0.000274193962857551	0.0278992357207558	0.0258079054514169	TAC1/EPAS1/CASQ1/ADRA2A/PTPRO/GALR1/HTR1A/FOXL2/PDE4B	9
GO:0044060	regulation of endocrine process	3/70	25/12211	0.12	20.9331428571429	7.57521248188614	0.000379067081254496	0.0356031466316722	0.0329343302174959	TAC1/GALR1/FOXL2	3
GO:0046883	regulation of hormone secretion	6/70	178/12211	0.0337078651685393	5.8800963081862	4.98001966929505	0.000534006192193346	0.0465729686191482	0.0430818529491323	TAC1/KISS1R/ADRA2A/GALR1/HTR1A/FOXL2	6
