ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-373076	Class A/1 (Rhodopsin-like receptors)	9/49	104/8135	0.0865384615384615	14.3671507064364	10.6795746729124	8.63657140190721e-09	2.2714182787016e-06	1.29094014639034e-06	TAC1/HRH3/KISS1R/CNR1/ADRA2A/CCL28/GALR1/HTR1A/HTR1D	9
R-HSA-9909649	Regulation of PD-L1(CD274) transcription	7/49	62/8135	0.112903225806452	18.7442396313364	10.9173948548809	7.05474159513225e-08	9.27698519759891e-06	5.27249108688831e-06	EPAS1/H2BC11/H4C8/FOS/H2AC6/H3C8/H3C6	7
R-HSA-73728	RNA Polymerase I Promoter Opening	5/49	24/8135	0.208333333333333	34.5875850340136	12.8271583075024	2.50836470105626e-07	1.64928099990347e-05	9.37354020357383e-06	H2BC11/H4C8/H2AC6/H3C8/H3C6	5
R-HSA-5334118	DNA methylation	5/49	25/8135	0.2	33.2040816326531	12.5531798672885	3.12132170824814e-07	1.64928099990347e-05	9.37354020357383e-06	H2BC11/H4C8/H2AC6/H3C8/H3C6	5
R-HSA-500792	GPCR ligand binding	9/49	157/8135	0.0573248407643312	9.51709346158846	8.38836807538614	3.13551520894195e-07	1.64928099990347e-05	9.37354020357383e-06	TAC1/HRH3/KISS1R/CNR1/ADRA2A/CCL28/GALR1/HTR1A/HTR1D	9
R-HSA-5625886	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	5/49	26/8135	0.192307692307692	31.9270015698587	12.2948743777252	3.84707345800001e-07	1.68630053242334e-05	9.5839373865965e-06	H2BC11/H4C8/H2AC6/H3C8/H3C6	5
R-HSA-427359	SIRT1 negatively regulates rRNA expression	5/49	29/8135	0.172413793103448	28.6242083040113	11.600288625792	6.85176593350519e-07	2.25251805063983e-05	1.2801983717865e-05	H2BC11/H4C8/H2AC6/H3C8/H3C6	5
R-HSA-9821002	Chromatin modifications during the maternal to zygotic transition (MZT)	5/49	29/8135	0.172413793103448	28.6242083040113	11.600288625792	6.85176593350519e-07	2.25251805063983e-05	1.2801983717865e-05	H2BC11/H4C8/H2AC6/H3C8/H3C6	5
R-HSA-68616	Assembly of the ORC complex at the origin of replication	5/49	30/8135	0.166666666666667	27.6700680272109	11.3917775751639	8.18506015627714e-07	2.39185646788987e-05	1.35939010782614e-05	H2BC11/H4C8/H2AC6/H3C8/H3C6	5
R-HSA-9843970	Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex	5/49	32/8135	0.15625	25.9406887755102	11.0038273647501	1.14623278058143e-06	3.01459221292915e-05	1.71331636676382e-05	H2BC11/H4C8/H2AC6/H3C8/H3C6	5
R-HSA-375280	Amine ligand-binding receptors	4/49	15/8135	0.266666666666667	44.2721088435374	13.0574668305128	1.5105200394744e-06	3.17540161604491e-05	1.8047109444802e-05	HRH3/ADRA2A/HTR1A/HTR1D	4
R-HSA-2299718	Condensation of Prophase Chromosomes	5/49	34/8135	0.147058823529412	24.4147659063625	10.6498433121606	1.56959015241764e-06	3.17540161604491e-05	1.8047109444802e-05	H2BC11/H4C8/H2AC6/H3C8/H3C6	5
R-HSA-9710421	Defective pyroptosis	5/49	34/8135	0.147058823529412	24.4147659063625	10.6498433121606	1.56959015241764e-06	3.17540161604491e-05	1.8047109444802e-05	H2BC11/H4C8/H2AC6/H3C8/H3C6	5
R-HSA-212300	PRC2 methylates histones and DNA	5/49	36/8135	0.138888888888889	23.0583900226757	10.325060802666	2.10741808160355e-06	3.75273399021632e-05	2.13283260600647e-05	H2BC11/H4C8/H2AC6/H3C8/H3C6	5
R-HSA-9018519	Estrogen-dependent gene expression	7/49	102/8135	0.0686274509803922	11.3935574229692	8.22259079575749	2.20885255835268e-06	3.75273399021632e-05	2.13283260600647e-05	NR5A2/H2BC11/H4C8/FOS/H2AC6/H3C8/H3C6	7
R-HSA-2559582	Senescence-Associated Secretory Phenotype (SASP)	6/49	66/8135	0.0909090909090909	15.0927643784787	8.94832103022689	2.4072932963376e-06	3.75273399021632e-05	2.13283260600647e-05	H2BC11/H4C8/FOS/H2AC6/H3C8/H3C6	6
