source	pathway	NES	padj	entrez	symbol
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	22911	WDR47
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	2801	GOLGA2
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	10048	RANBP9
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	27175	TUBG2
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	121441	NEDD1
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	11076	TPPP
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	8874	ARHGEF7
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	7283	TUBG1
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	7846	TUBA1A
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	1453	CSNK1D
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	55125	CEP192
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	284001	CCDC57
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	26586	CKAP2
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	22974	TPX2
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	9212	AURKB
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	55201	MAP1S
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	54820	NDE1
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	4137	MAPT
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	3925	STMN1
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	4926	NUMA1
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	25809	TTLL1
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	54801	HAUS6
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	25999	CLIP3
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	26271	FBXO5
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	10297	APC2
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	57606	SLAIN2
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	9793	CKAP5
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	57787	MARK4
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	10013	HDAC6
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	126731	CCSAP
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	146057	TTBK2
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	51199	NIN
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	402	ARL2
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	79096	CSTPP1
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	11075	STMN2
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	11004	KIF2C
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	348235	SKA2
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	59341	TRPV4
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	114791	TUBGCP5
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	6904	TBCD
GO_BP	microtubule polymerization or depolymerization	-1.94808733798471	0.000320105044223848	4204	MECP2
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	54930	HAUS4
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	2959	GTF2B
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	26112	CCDC69
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	10844	TUBGCP2
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	80254	CEP63
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	26065	LSM14A
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	10636	RGS14
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	10426	TUBGCP3
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	220134	SKA1
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	1731	SEPTIN1
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	83541	FAM110A
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	57562	CEP126
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	128866	CHMP4B
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	90417	KNSTRN
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	332	BIRC5
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	4751	NEK2
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	256364	EML3
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	1213	CLTC
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	24137	KIF4A
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	83540	NUF2
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	2801	GOLGA2
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	55722	CEP72
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	3832	KIF11
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	83473	KATNAL2
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	27175	TUBG2
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	84142	ABRAXAS1
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	11076	TPPP
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	8086	AAAS
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	79866	BORA
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	64946	CENPH
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	7283	TUBG1
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	27243	CHMP2A
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	23636	NUP62
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	6047	RNF4
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	55143	CDCA8
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	1453	CSNK1D
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	79643	CHMP6
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	3619	INCENP
GO_BP	spindle organization	-1.80894867243264	0.000320105044223848	55125	CEP192
