Description	NES	setSize	p.adjust
microtubule polymerization or depolymerization	-1.94808733798471	137	0.000320105044223848
spindle organization	-1.80894867243264	200	0.000320105044223848
organelle fission	-1.57414091235181	414	0.000415105682444488
nuclear division	-1.63440791426011	371	0.000523222662802973
chromosome segregation	-1.60099028274422	395	0.00067365558966471
microtubule-based movement	-1.64647680789882	337	0.000824796117505783
cilium assembly	-1.62428794932529	322	0.000904427745702281
mitotic spindle organization	-1.90203575282718	133	0.000933074456879292
mitotic nuclear division	-1.71981832053086	256	0.00102326373979993
nuclear chromosome segregation	-1.65758513012835	290	0.00104657529898289
mitotic cytokinesis	-1.95558764645052	95	0.00118968607936317
microtubule cytoskeleton organization involved in mitosis	-1.84461969642613	162	0.00118968607936317
cilium organization	-1.62481559306027	346	0.00118968607936317
protein localization to microtubule organizing center	-2.11408331785542	39	0.00130202185190003
regulation of microtubule-based process	-1.64655880784333	234	0.00257052374873535
