Description	NES	setSize	p.adjust
ribosomal small subunit biogenesis	2.91900622614761	105	7.70571428571429e-08
cytoplasmic translation	2.81501433834494	202	7.70571428571429e-08
ribosome biogenesis	2.79494289356847	307	7.70571428571429e-08
ribosomal large subunit biogenesis	2.65163172549398	66	7.70571428571429e-08
rRNA processing	2.63855645775007	217	7.70571428571429e-08
ribonucleoprotein complex biogenesis	2.62527939860505	450	7.70571428571429e-08
rRNA metabolic process	2.45972340760671	261	7.70571428571429e-08
maturation of SSU-rRNA	2.56162307775466	54	1.83295510059511e-07
protein-RNA complex assembly	2.11749342103548	191	9.80649952105131e-07
protein-RNA complex organization	2.06818230978008	200	1.01898237541682e-06
ribosome assembly	2.45120410047519	55	5.95739881877388e-06
tRNA metabolic process	1.95109446607515	200	3.53269672224992e-05
amino acid import across plasma membrane	2.40613281150498	40	5.11482165316851e-05
oxidative phosphorylation	2.09419778293895	133	5.11482165316851e-05
L-alpha-amino acid transmembrane transport	2.27502503446342	57	0.000130378850275905
