Description	NES	setSize	p.adjust
AURKA Activation by TPX2	-1.95477152690701	71	0.000442636330413663
Cilium Assembly	-1.69600841940713	185	0.000485685510458413
Recruitment of mitotic centrosome proteins and complexes	-1.86804374027475	80	0.000603085384470398
Centrosome maturation	-1.86804374027475	80	0.000603085384470398
RHOB GTPase cycle	-1.88685639394143	65	0.00148262541317028
Anchoring of the basal body to the plasma membrane	-1.81601907210024	96	0.00190676610981717
Loss of Nlp from mitotic centrosomes	-1.84466017189839	68	0.00255656462805558
Loss of proteins required for interphase microtubule organization from the centrosome	-1.84466017189839	68	0.00255656462805558
RHO GTPase cycle	-1.37390351365571	412	0.00655604086778103
Recruitment of NuMA to mitotic centrosomes	-1.68387923413742	85	0.00791657361290981
Mitotic Prometaphase	-1.51273962750312	193	0.00856885886482352
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	-1.79723544199089	42	0.0142695122196045
CDC42 GTPase cycle	-1.50926216548792	145	0.0161921258858795
Regulation of PLK1 Activity at G2/M Transition	-1.59317213997829	86	0.0297639388947749
RHOBTB3 ATPase cycle	-1.80296271513243	10	0.0384885579768622
