Description	NES	setSize	p.adjust
Ribosome-associated quality control	3.29868960796996	141	2.16571428571429e-09
Regulation of expression of SLITs and ROBOs	3.26987204033862	150	2.16571428571429e-09
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	3.26978026155144	92	2.16571428571429e-09
Major pathway of rRNA processing in the nucleolus and cytosol	3.25808260615227	179	2.16571428571429e-09
rRNA processing in the nucleus and cytosol	3.2430689180746	189	2.16571428571429e-09
Response of EIF2AK4 (GCN2) to amino acid deficiency	3.2355913416954	98	2.16571428571429e-09
Selenoamino acid metabolism	3.23111788629035	112	2.16571428571429e-09
L13a-mediated translational silencing of Ceruloplasmin expression	3.22448125048873	108	2.16571428571429e-09
Eukaryotic Translation Elongation	3.22242652602104	89	2.16571428571429e-09
Eukaryotic Translation Termination	3.218723366456	90	2.16571428571429e-09
rRNA processing	3.21380962122428	206	2.16571428571429e-09
Eukaryotic Translation Initiation	3.21013386832312	116	2.16571428571429e-09
Cap-dependent Translation Initiation	3.21013386832312	116	2.16571428571429e-09
Viral mRNA Translation	3.2047286971413	86	2.16571428571429e-09
Peptide chain elongation	3.19973984533117	86	2.16571428571429e-09
