Description	GeneRatio	Count	p.adjust
embryonic organ morphogenesis	10/85	10	0.000923174378499707
skeletal system morphogenesis	8/85	8	0.00461760637173288
embryonic morphogenesis	13/85	13	0.00461760637173288
embryonic organ development	11/85	11	0.00461760637173288
endochondral bone morphogenesis	5/85	5	0.00541365141579868
determination of heart left/right asymmetry	5/85	5	0.00541365141579868
pattern specification process	10/85	10	0.00832588758149127
negative regulation of cell population proliferation	13/85	13	0.00850220087031526
cartilage development	7/85	7	0.0117204388234917
epithelial cell differentiation	12/85	12	0.015257277548233
regulation of epithelial cell differentiation	6/85	6	0.0155454268029404
inner ear morphogenesis	5/85	5	0.018607903732975
bone morphogenesis	5/85	5	0.018607903732975
cell morphogenesis involved in neuron differentiation	12/85	12	0.0220417739127912
regulation of macrophage chemotaxis	3/85	3	0.0252503473515855
