Description	GeneRatio	Count	p.adjust
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	4/70	4	0.0059797565043698
adenylate cyclase-modulating G protein-coupled receptor signaling pathway	7/70	7	0.0059797565043698
adenylate cyclase-activating G protein-coupled receptor signaling pathway	6/70	6	0.0059797565043698
hormone secretion	8/70	8	0.00988152622625743
hormone transport	8/70	8	0.00988152622625743
nucleosome assembly	5/70	5	0.00988152622625743
G protein-coupled receptor signaling pathway	11/70	11	0.0118150014207175
nucleosome organization	5/70	5	0.0213031697635329
regulation of hormone levels	9/70	9	0.0213031697635329
signal release	9/70	9	0.02471983237426
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway	4/70	4	0.0278992357207558
regulation of system process	9/70	9	0.0278992357207558
regulation of endocrine process	3/70	3	0.0356031466316722
regulation of hormone secretion	6/70	6	0.0465729686191482
