Description	GeneRatio	Count	p.adjust
Class A/1 (Rhodopsin-like receptors)	9/49	9	2.2714182787016e-06
Regulation of PD-L1(CD274) transcription	7/49	7	9.27698519759891e-06
RNA Polymerase I Promoter Opening	5/49	5	1.64928099990347e-05
DNA methylation	5/49	5	1.64928099990347e-05
GPCR ligand binding	9/49	9	1.64928099990347e-05
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	5/49	5	1.68630053242334e-05
SIRT1 negatively regulates rRNA expression	5/49	5	2.25251805063983e-05
Chromatin modifications during the maternal to zygotic transition (MZT)	5/49	5	2.25251805063983e-05
Assembly of the ORC complex at the origin of replication	5/49	5	2.39185646788987e-05
Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex	5/49	5	3.01459221292915e-05
Amine ligand-binding receptors	4/49	4	3.17540161604491e-05
Condensation of Prophase Chromosomes	5/49	5	3.17540161604491e-05
Defective pyroptosis	5/49	5	3.17540161604491e-05
PRC2 methylates histones and DNA	5/49	5	3.75273399021632e-05
Estrogen-dependent gene expression	7/49	7	3.75273399021632e-05
