gene_id	symbol_iPSC	iPSC_log2FC	symbol_NPC	NPC_log2FC	symbol	same_direction	direction
ENSG00000263711	LINC02864	-8.40970518235426	AC079062.1	-10.1959280522964	LINC02864	TRUE	PD_down_both
ENSG00000196109	ZNF676	-7.23073354914497	ZNF676	-6.88949166938128	ZNF676	TRUE	PD_down_both
ENSG00000230383	RPL6P19	3.03674567627873	AC009245.1	3.56088067575741	RPL6P19	TRUE	PD_up_both
ENSG00000229814	NA	2.93538972450057	RPL35AP21	2.68341353404912	RPL35AP21	TRUE	PD_up_both
ENSG00000155093	PTPRN2	-1.61781455166373	PTPRN2	-3.95906054248566	PTPRN2	TRUE	PD_down_both
ENSG00000244716	RPL17P7	2.71333097332984	BX679664.3	2.73841529160533	RPL17P7	TRUE	PD_up_both
ENSG00000233098	LOC339260	2.50900939603645	CCDC144NL-AS1	2.86315022811445	LOC339260	TRUE	PD_up_both
ENSG00000231689	LINC01090	-1.96951291319446	LINC01090	-2.94729798548728	LINC01090	TRUE	PD_down_both
ENSG00000115648	MLPH	1.34740619466835	MLPH	3.23227912571802	MLPH	TRUE	PD_up_both
ENSG00000243964	RPL23AP65	1.86309731210217	RPL23AP65	2.42225128482097	RPL23AP65	TRUE	PD_up_both
ENSG00000116016	EPAS1	1.25688855693966	EPAS1	2.910436660912	EPAS1	TRUE	PD_up_both
ENSG00000196581	AJAP1	1.53369735174163	AJAP1	2.30286724552375	AJAP1	TRUE	PD_up_both
ENSG00000259129	LINC00648	-1.64525128114992	LINC00648	-2.09469303238449	LINC00648	TRUE	PD_down_both
ENSG00000197956	S100A6	1.25169943138722	S100A6	2.45634508898132	S100A6	TRUE	PD_up_both
ENSG00000154188	ANGPT1	-1.72209015388267	ANGPT1	-1.95979136847263	ANGPT1	TRUE	PD_down_both
ENSG00000141526	SLC16A3	-1.52446423535529	SLC16A3	2.13218817096194	SLC16A3	FALSE	opposite_direction
ENSG00000253953	PCDHGB4	1.14576575527147	PCDHGB4	2.50576792103796	PCDHGB4	TRUE	PD_up_both
ENSG00000234488	RPL27P6	2.23566027089019	AC096664.2	1.38009183285887	RPL27P6	TRUE	PD_up_both
ENSG00000175592	FOSL1	1.01971169604069	FOSL1	2.53737876065734	FOSL1	TRUE	PD_up_both
ENSG00000166825	ANPEP	-1.42051442241296	ANPEP	2.00060476296015	ANPEP	FALSE	opposite_direction
ENSG00000139209	SLC38A4	1.87310791668578	SLC38A4	1.53901643719098	SLC38A4	TRUE	PD_up_both
ENSG00000253173	NA	-1.04403985730996	H2AFZP2	-2.32662293590191	H2AFZP2	TRUE	PD_down_both
ENSG00000247498	GPRC5D-AS1	-1.89260431674252	GPRC5D-AS1	-1.43705458316184	GPRC5D-AS1	TRUE	PD_down_both
ENSG00000223873	NA	-1.90933069103431	SAP18P2	-1.38812764476035	SAP18P2	TRUE	PD_down_both
ENSG00000261324	NA	1.24827087254616	AC010168.2	-2.03939955435805	AC010168.2	FALSE	opposite_direction
ENSG00000267506	NA	-1.82251693221166	AC021683.2	-1.44881440386621	AC021683.2	TRUE	PD_down_both
ENSG00000241511	RPS15AP24	-1.79870190936399	RPS15AP24	-1.42213328306911	RPS15AP24	TRUE	PD_down_both
ENSG00000036448	MYOM2	-1.36857360540734	MYOM2	-1.84062389270695	MYOM2	TRUE	PD_down_both
ENSG00000008735	MAPK8IP2	-1.1995060379928	MAPK8IP2	-2.00886456292635	MAPK8IP2	TRUE	PD_down_both
ENSG00000118523	CCN2	1.23938045576405	CTGF	1.93108563293323	CCN2	TRUE	PD_up_both
ENSG00000233155	NA	1.5840736265794	HMGA1P8	1.54299720165696	HMGA1P8	TRUE	PD_up_both
ENSG00000137393	RNF144B	1.05301811483724	RNF144B	2.06999769839912	RNF144B	TRUE	PD_up_both
ENSG00000235555	NA	-1.77273163369788	SUMO1P4	-1.26955514058547	SUMO1P4	TRUE	PD_down_both
ENSG00000253683	NA	1.75097143404162	AC027309.2	1.2643468901289	AC027309.2	TRUE	PD_up_both
ENSG00000228218	NA	1.16125478564748	ATF4P3	1.78593517516428	ATF4P3	TRUE	PD_up_both
ENSG00000213312	RPL7AP34	1.47515936314359	RPL7AP34	1.38943389316312	RPL7AP34	TRUE	PD_up_both
ENSG00000111199	TRPV4	-1.363263587078	TRPV4	1.38982068477111	TRPV4	FALSE	opposite_direction
ENSG00000091656	ZFHX4	-1.26641742976408	ZFHX4	-1.41517700422735	ZFHX4	TRUE	PD_down_both
ENSG00000231700	NA	-1.44352972838885	AL356276.2	-1.20529709466333	AL356276.2	TRUE	PD_down_both
ENSG00000249850	KRT18P31	1.24911382661951	KRT18P31	1.3963889564802	KRT18P31	TRUE	PD_up_both
ENSG00000145536	ADAMTS16	1.10513337391589	ADAMTS16	-1.50252124666784	ADAMTS16	FALSE	opposite_direction
ENSG00000233476	NA	1.29041048360939	EEF1A1P6	1.25625502012862	EEF1A1P6	TRUE	PD_up_both
ENSG00000137857	DUOX1	-1.30523381810822	DUOX1	-1.18604066363278	DUOX1	TRUE	PD_down_both
ENSG00000184470	TXNRD2	1.0882199752511	TXNRD2	1.32773722467064	TXNRD2	TRUE	PD_up_both
ENSG00000227081	NA	1.20422899829222	AC005912.1	1.09269474919175	AC005912.1	TRUE	PD_up_both
ENSG00000169253	NA	1.06110628738003	AL669983.1	1.20540766367034	AL669983.1	TRUE	PD_up_both
ENSG00000251400	ALDH7A1P1	1.03487765071641	ALDH7A1P1	1.20762749856815	ALDH7A1P1	TRUE	PD_up_both
ENSG00000197816	CCDC180	-1.1753083807913	CCDC180	-1.05006029006787	CCDC180	TRUE	PD_down_both
ENSG00000170345	FOS	1.14228812909401	FOS	1.05157736368409	FOS	TRUE	PD_up_both
