sample	condition	pair	cell_line	sample_title
SRR16117933	PD	2	2B	2B_NPC_Slo12NP7
SRR16117934	Healthy	2	2K	2K_NPC_Slo18
SRR16117937	PD	1	1B	1B_NPC_Slo6NP16
SRR16117938	Healthy	1	1K	1K_NPC_Slo24NP15
SRR16117941	PD	2	2B	2B_NPC_Slo11NP7
SRR16117942	Healthy	2	2K	2K_NPC_Slo17NP8
SRR16117945	PD	1	1B	1B_NPC_Slo5NP16
SRR16117946	Healthy	1	1K	1K_NPC_Slo23NP15
SRR16117949	PD	2	2B	2B_NPC_Slo10NP7
SRR16117950	Healthy	2	2K	2K_NPC_Slo16NP8
SRR16117953	PD	1	1B	1B_NPC_Slo4NP16
SRR16117954	Healthy	1	1K	1K_NPC_Slo22NP15
