Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	gene_biotype
ENSG00000168646	873.710900257117	-2.28852287948251	0.10345726557846	-22.1204655534505	2.00845140788987e-108	3.07052051238203e-104	AXIN2	protein_coding
ENSG00000169218	148.455876328909	-3.56630502046037	0.183009409370723	-19.4870036066621	1.41529454965657e-84	7.21234102504987e-81	RSPO1	protein_coding
ENSG00000178573	656.797426985004	-2.27550166185766	0.129886701853908	-17.519127280767	1.02383901469751e-68	3.91311271417387e-65	MAF	protein_coding
ENSG00000154856	280.050637728253	-2.46592226922101	0.162239392310158	-15.1992819629577	3.57518316513879e-52	6.83217502858022e-49	APCDD1	protein_coding
ENSG00000253305	462.776469550262	-1.1105542562083	0.0777648018539157	-14.2809372586651	2.87705805843734e-46	4.88716262193222e-43	PCDHGB6	protein_coding
ENSG00000179256	79.0044453189084	-2.49313167104336	0.20415015815561	-12.2122446221325	2.67408439052833e-34	2.55508763514982e-31	SMCO3	protein_coding
ENSG00000263711	119.323811187198	-10.1959280522964	0.841233956297276	-12.1202050582625	8.25523331346676e-34	6.64242141559367e-31	AC079062.1	processed_transcript
ENSG00000203727	213.301110595157	-3.19306917497864	0.264213882961527	-12.0851680433598	1.26511242675112e-33	9.21001846674817e-31	SAMD5	protein_coding
ENSG00000154188	65.1501488176061	-1.95979136847263	0.171890954493892	-11.4013641627796	4.11618115127957e-30	2.13682099437281e-27	ANGPT1	protein_coding
ENSG00000137502	171.520426033902	-1.15355728146658	0.101278282003729	-11.3899767911161	4.69114648948486e-30	2.3134918558466e-27	RAB30	protein_coding
ENSG00000233237	69.3547669111967	-1.82440830106155	0.164741983091672	-11.0743373779005	1.6711175525965e-28	7.74183186184706e-26	LINC00472	lincRNA
ENSG00000127578	211.107185372213	-1.77920822308845	0.160891018003432	-11.0584683046166	1.99474779557938e-28	8.71638406141189e-26	WFIKKN1	protein_coding
ENSG00000233593	53.0257630809663	-2.29857729657689	0.216977232423193	-10.5936335849917	3.18965004493156e-26	1.06007325841117e-23	AL590094.1	processed_transcript
ENSG00000196109	57.1343662372519	-6.88949166938128	0.651756326655962	-10.5706556079478	4.07634893767006e-26	1.32594090551276e-23	ZNF676	protein_coding
ENSG00000183044	172.976630231168	-2.12543076239286	0.201503254159291	-10.547873141109	5.19599594947554e-26	1.65492470990796e-23	ABAT	protein_coding
ENSG00000186462	172.686053022535	-1.08007788320869	0.103990150112407	-10.3863479573901	2.86098937137921e-25	8.57623637444028e-23	NAP1L2	protein_coding
ENSG00000110077	62.694839526003	-7.2554123150569	0.70333251608881	-10.3157640932113	5.98036936739012e-25	1.72505446959736e-22	MS4A6A	protein_coding
ENSG00000135903	1237.94497108224	-2.1313597036198	0.210683015246502	-10.1164287074878	4.67150855041678e-24	1.19030037864619e-21	PAX3	protein_coding
ENSG00000165379	69.6257791464515	-1.77405854048519	0.175871168910313	-10.0872618944717	6.28995528367066e-24	1.50251306838683e-21	LRFN5	protein_coding
ENSG00000099250	639.897984784907	-1.22256119762526	0.122527239452706	-9.97787270068345	1.9050727699129e-23	4.28305183918064e-21	NRP1	protein_coding
ENSG00000049130	616.365906885708	-1.38519195068455	0.139046641133416	-9.96206696827329	2.23369645058604e-23	4.94909439660281e-21	KITLG	protein_coding
ENSG00000187325	474.02079626149	-1.03838131959499	0.105595398273101	-9.83358495328962	8.06939911580962e-23	1.64486631576663e-20	TAF9B	protein_coding
ENSG00000158008	57.0009975193008	-1.70967546760111	0.179685813595404	-9.51480494420533	1.82054109105171e-21	3.47905402499982e-19	EXTL1	protein_coding
ENSG00000107518	121.251823464759	-1.18870539453951	0.128782902375281	-9.23030443183795	2.6986380301026e-20	4.48443241350092e-18	ATRNL1	protein_coding
ENSG00000080823	121.484434475574	-1.01807047746281	0.110419147521041	-9.22005377073579	2.96951268213476e-20	4.88149568650282e-18	MOK	protein_coding
ENSG00000060709	263.65604234795	-1.75677249619582	0.190584714307826	-9.21780376026562	3.03247518153943e-20	4.93196601865689e-18	RIMBP2	protein_coding
ENSG00000154342	332.779351874148	-2.14099666188035	0.234147112068582	-9.14380981668162	6.02900600436019e-20	9.50221070048026e-18	WNT3A	protein_coding
ENSG00000111110	402.649034656261	-1.53567519419884	0.169945140919277	-9.03629951343104	1.62065212937988e-19	2.50267977312723e-17	PPM1H	protein_coding
ENSG00000196632	392.035691240693	-1.43044465928071	0.159120449424942	-8.98969720391253	2.47912488286157e-19	3.79008612091877e-17	WNK3	protein_coding
ENSG00000012171	179.834093554887	-2.04690980890366	0.235795207437628	-8.68087961221648	3.927196641598e-18	5.22078106580437e-16	SEMA3B	protein_coding
ENSG00000169884	67.2222018859128	-2.33981776935171	0.272164667447217	-8.59706658949581	8.17795395092198e-18	1.05062655463609e-15	WNT10B	protein_coding
ENSG00000257354	111.862104135277	-1.55110485832191	0.182682342815779	-8.49072129475629	2.05358516886771e-17	2.55245610257313e-15	AC048341.1	lincRNA
ENSG00000180694	330.638259601273	-1.24162585165288	0.146636258397803	-8.46738634236377	2.50960607352742e-17	3.0449887025466e-15	TMEM64	protein_coding
ENSG00000104447	168.809916494604	-1.39248857467472	0.164510454800316	-8.46443818032681	2.57390401083293e-17	3.09841295414283e-15	TRPS1	protein_coding
ENSG00000078725	23.3964900963556	-2.52147527850273	0.300011093386793	-8.40460680982848	4.29297434844477e-17	5.03414073768622e-15	BRINP1	protein_coding
ENSG00000155093	45.797307341552	-3.95906054248566	0.471806286224073	-8.39128400380279	4.80861140491846e-17	5.55647198000658e-15	PTPRN2	protein_coding
ENSG00000158352	176.48228180485	-1.66664986835911	0.199307887211413	-8.36218722539182	6.15660379060503e-17	6.87023056574961e-15	SHROOM4	protein_coding
ENSG00000166432	138.811902584776	-1.6964401059776	0.202868029706537	-8.36228413334337	6.15154731979035e-17	6.87023056574961e-15	ZMAT1	protein_coding
