Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	gene_biotype
ENSG00000168646	873.710900257117	-2.28852287948251	0.10345726557846	-22.1204655534505	2.00845140788987e-108	3.07052051238203e-104	AXIN2	protein_coding
ENSG00000137962	373.219240143601	2.26716371933656	0.114833516493781	19.7430487941152	9.20524267240935e-87	7.0364874987897e-83	ARHGAP29	protein_coding
ENSG00000169218	148.455876328909	-3.56630502046037	0.183009409370723	-19.4870036066621	1.41529454965657e-84	7.21234102504987e-81	RSPO1	protein_coding
ENSG00000178573	656.797426985004	-2.27550166185766	0.129886701853908	-17.519127280767	1.02383901469751e-68	3.91311271417387e-65	MAF	protein_coding
ENSG00000175832	117.665719655333	3.58421749920251	0.226351003928965	15.8347762412723	1.79095108443421e-56	5.47601203576604e-53	ETV4	protein_coding
ENSG00000104369	89.5285211591561	2.4175917187503	0.154919539028994	15.6054667726441	6.68192381525659e-55	1.70255418812738e-51	JPH1	protein_coding
ENSG00000060982	3581.73842533444	1.42614690678413	0.092113688862006	15.4824643807352	4.55677364881869e-54	9.95199364902001e-51	BCAT1	protein_coding
ENSG00000154856	280.050637728253	-2.46592226922101	0.162239392310158	-15.1992819629577	3.57518316513879e-52	6.83217502858022e-49	APCDD1	protein_coding
ENSG00000253305	462.776469550262	-1.1105542562083	0.0777648018539157	-14.2809372586651	2.87705805843734e-46	4.88716262193222e-43	PCDHGB6	protein_coding
ENSG00000244716	111.018908425804	2.73841529160533	0.197094811581829	13.8938984219196	6.89765466376459e-44	1.05451344499633e-40	BX679664.3	processed_pseudogene
ENSG00000230383	42.2931896315444	3.56088067575741	0.256630752456618	13.8755026109326	8.91658720506016e-44	1.239243501736e-40	AC009245.1	processed_pseudogene
ENSG00000138193	424.663910885631	-0.901511351985523	0.0666216840316414	-13.5318007205786	1.01506330888841e-41	1.29319065552383e-38	PLCE1	protein_coding
ENSG00000232956	216.819616364869	1.15642752383328	0.0865137084496233	13.3669859327168	9.42845818542244e-41	1.10878668260568e-37	SNHG15	lincRNA
ENSG00000166145	185.491232705919	2.91830803195021	0.229605785687763	12.7100805548461	5.19808672885048e-37	5.67631070790473e-34	SPINT1	protein_coding
ENSG00000196517	116.565028135614	2.18924923689339	0.177735590954221	12.3174498992566	7.29652398811203e-35	7.43661724868379e-32	SLC6A9	protein_coding
ENSG00000179256	79.0044453189084	-2.49313167104336	0.20415015815561	-12.2122446221325	2.67408439052833e-34	2.55508763514982e-31	SMCO3	protein_coding
ENSG00000229814	46.0180287236802	2.68341353404912	0.220784376024044	12.1540010320154	5.46254166456049e-34	4.91243158634122e-31	RPL35AP21	processed_pseudogene
ENSG00000144724	997.79290773751	0.971850534131115	0.0799940626977818	12.1490333326709	5.80478586380469e-34	4.93019812699145e-31	PTPRG	protein_coding
ENSG00000263711	119.323811187198	-10.1959280522964	0.841233956297276	-12.1202050582625	8.25523331346676e-34	6.64242141559367e-31	AC079062.1	processed_transcript
ENSG00000115484	2576.54433817537	0.639411042072369	0.0529031588118246	12.0864435401058	1.2456300278105e-33	9.21001846674817e-31	CCT4	protein_coding
ENSG00000203727	213.301110595157	-3.19306917497864	0.264213882961527	-12.0851680433598	1.26511242675112e-33	9.21001846674817e-31	SAMD5	protein_coding
ENSG00000158747	121.619331537326	2.24199175842502	0.185989875831842	12.0543752631571	1.83921742913391e-33	1.2780889116636e-30	NBL1	protein_coding
ENSG00000167635	1092.76498828208	0.527542776114084	0.0440493262757838	11.9761826278851	4.73635143390771e-33	3.14823220528613e-30	ZNF146	protein_coding
ENSG00000134602	946.83363831792	0.914582334803699	0.0764452534860345	11.9638864821186	5.49295175163799e-33	3.4990102657934e-30	STK26	protein_coding
ENSG00000214022	1529.41494281879	-0.614250733759766	0.0516587550189857	-11.8905446624491	1.32539422641122e-32	8.1050507733499e-30	REPIN1	protein_coding
ENSG00000058085	74.468781417716	2.17248308948079	0.186021243175632	11.678682780491	1.63814340486309e-31	9.63228322059495e-29	LAMC2	protein_coding
ENSG00000163584	174.954429899349	1.27182738138199	0.11061698908949	11.497577287636	1.35670195133778e-30	7.68194793779704e-28	RPL22L1	protein_coding
ENSG00000160049	1257.02824834656	0.736937486368192	0.0644538227714292	11.4335729779997	2.84170262389833e-30	1.55156963264849e-27	DFFA	protein_coding
ENSG00000144381	3503.48177591951	0.655923097073384	0.0575383671092986	11.3997516792127	4.1931338194129e-30	2.13682099437281e-27	HSPD1	protein_coding
ENSG00000154188	65.1501488176061	-1.95979136847263	0.171890954493892	-11.4013641627796	4.11618115127957e-30	2.13682099437281e-27	ANGPT1	protein_coding
ENSG00000137502	171.520426033902	-1.15355728146658	0.101278282003729	-11.3899767911161	4.69114648948486e-30	2.3134918558466e-27	RAB30	protein_coding
ENSG00000156471	575.490319335629	0.654985508083324	0.0584468048226892	11.2065237795353	3.78778948121842e-29	1.8096164246521e-26	PTDSS1	protein_coding
ENSG00000233237	69.3547669111967	-1.82440830106155	0.164741983091672	-11.0743373779005	1.6711175525965e-28	7.74183186184706e-26	LINC00472	lincRNA
ENSG00000127578	211.107185372213	-1.77920822308845	0.160891018003432	-11.0584683046166	1.99474779557938e-28	8.71638406141189e-26	WFIKKN1	protein_coding
ENSG00000159399	468.095203668781	1.43946811984497	0.130169254579786	11.0584340710245	1.99550917156866e-28	8.71638406141189e-26	HK2	protein_coding
ENSG00000120254	562.480339877975	1.73532664858459	0.15863900733212	10.9388395563493	7.5155693540608e-28	3.19161178569115e-25	MTHFD1L	protein_coding
