PC1	PC2	group	name	sample	condition	pair	cell_line	sample_title	sizeFactor
-14.2853894219389	-9.94035805704927	PD:2	SRR16117933	SRR16117933	PD	2	2B	2B_NPC_Slo12NP7	0.760916209180363
29.3278486749892	20.3984529818364	Healthy:2	SRR16117934	SRR16117934	Healthy	2	2K	2K_NPC_Slo18	1.08315959783178
10.4077967472063	-15.9499767768568	PD:1	SRR16117937	SRR16117937	PD	1	1B	1B_NPC_Slo6NP16	1.04480835817614
-2.86586797261363	-11.8474978070127	Healthy:1	SRR16117938	SRR16117938	Healthy	1	1K	1K_NPC_Slo24NP15	1.08235070254009
-47.6637084422737	16.3711073383665	PD:2	SRR16117941	SRR16117941	PD	2	2B	2B_NPC_Slo11NP7	0.880096850681139
29.4262393485191	20.1812456374084	Healthy:2	SRR16117942	SRR16117942	Healthy	2	2K	2K_NPC_Slo17NP8	0.975368103575723
14.0460106713365	-16.8137323868923	PD:1	SRR16117945	SRR16117945	PD	1	1B	1B_NPC_Slo5NP16	1.14660510853924
-9.12796172127723	-9.20141729869005	Healthy:1	SRR16117946	SRR16117946	Healthy	1	1K	1K_NPC_Slo23NP15	1.12711020727875
-45.9946707186829	15.1155432913918	PD:2	SRR16117949	SRR16117949	PD	2	2B	2B_NPC_Slo10NP7	0.784313099255938
29.3858581225447	19.9346479921039	Healthy:2	SRR16117950	SRR16117950	Healthy	2	2K	2K_NPC_Slo16NP8	0.987814875192777
13.7752052972037	-16.9154989963011	PD:1	SRR16117953	SRR16117953	PD	1	1B	1B_NPC_Slo4NP16	1.20602092749316
-6.43136058501315	-11.3325159183048	Healthy:1	SRR16117954	SRR16117954	Healthy	1	1K	1K_NPC_Slo22NP15	1.08258270573443
