ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0022613	ribonucleoprotein complex biogenesis	454	0.551962580543496	2.66740394314328	9.76745619119399e-36	5.29982172934186e-32	4.38610190648774e-32	2852	tags=47%, list=20%, signal=39%	10885/9221/10480/23246/55813/26574/8662/27292/6627/84128/8661/3327/56915/54680/22984/9136/55759/9188/84154/27161/134430/8607/4809/92856/3326/8894/708/10728/6732/51187/23160/8664/27043/54552/55003/9875/6155/7514/6154/84549/23481/1736/83732/26155/25879/6233/4869/29889/2971/6209/23517/51491/55319/55127/10799/9669/23560/6152/6165/1662/6218/8886/705/51068/11224/23076/64434/6129/51388/23212/10907/92345/55646/85395/6637/27042/27341/54475/2197/9277/8668/161424/51096/11171/285855/28987/29081/3692/6636/6227/6208/56902/10514/2091/10528/10607/55692/6189/23016/728689/9045/153443/84769/83939/51118/55272/6628/6193/54913/5036/55651/6229/11157/8669/3646/84135/6201/54663/6228/22889/11137/6633/7458/79922/220717/55299/23378/6632/6206/7375/55720/11340/55695/65083/6207/9790/51093/8562/84916/10199/55661/6217/27335/6175/64282/10969/64794/25929/51406/6234/6135/51001/8666/10658/6230/1975/57418/51018/8602/57647/10419/51010/6125/6130/79039/6223/3921/8451/6210/57696/57602/57819/54955/6635/10171/10436/79863/6202/80135/51116/9816/54853/26747/30836/23404/27340/79833/6203/6629/51106/2068/8667/6194/54700/55226/102157402/545/22894/114049/51154/3320/10713/51119/57050/345630/81875/1207/8575/51639/27079/10360/51602
GO:0042254	ribosome biogenesis	308	0.595206630554588	2.76957989271065	7.51341148668201e-32	2.03838853633683e-28	1.68695860011502e-28	3072	tags=56%, list=22%, signal=45%	10885/9221/23246/55813/26574/27292/84128/56915/54680/22984/9136/55759/9188/84154/134430/4809/92856/708/51187/23160/27043/54552/55003/9875/6155/7514/6154/84549/23481/1736/83732/26155/25879/6233/4869/29889/2971/6209/23517/51491/55319/55127/10799/9669/23560/6152/6165/1662/6218/8886/705/51068/11224/23076/64434/6129/51388/23212/92345/55646/85395/27042/27341/54475/2197/9277/161424/51096/285855/28987/29081/3692/6227/6208/56902/10514/2091/10528/10607/6189/23016/9045/153443/84769/83939/51118/55272/6193/54913/5036/55651/6229/11157/84135/6201/54663/6228/11137/79922/220717/55299/23378/6206/55720/11340/55695/65083/6207/9790/51093/84916/10199/55661/6217/6175/64282/10969/64794/51406/6234/6135/51001/6230/57418/51018/8602/57647/51010/6125/6130/79039/6223/3921/8451/6210/57696/57602/54955/10171/10436/79863/6202/80135/51116/9816/54853/30836/23404/27340/6203/51106/2068/6194/54700/55226/102157402/22894/114049/51154/51119/57050/345630/81875/27079/10360/51602/10248/29063/90441/51575/8568/55011/6191
GO:0016072	rRNA metabolic process	261	0.593763515230293	2.72938967799928	1.60761901926049e-27	2.9076469328358e-24	2.40635183725096e-24	3050	tags=55%, list=22%, signal=44%	10885/9221/23246/55813/27292/84128/56915/54680/22984/9136/55759/9188/6949/84154/134430/4809/92856/23160/27043/55003/9875/6155/6154/84549/23481/1736/83732/25879/4141/2971/6209/23517/84365/84172/55127/10799/23560/6165/1662/6218/8886/10849/705/11224/23076/6129/23212/7157/92345/55646/85395/27042/27341/9277/161424/51096/285855/28987/29081/3692/6227/6208/2091/10528/10607/23016/9045/153443/51082/51118/55272/54913/5036/55651/6229/11157/84135/6201/54663/11137/9014/79922/221830/55299/23378/4609/55720/11340/55695/65083/9790/51093/84916/10199/55661/6217/64282/10969/51406/6234/6135/6230/57418/51018/8602/57647/51010/6125/6130/79039/6223/57696/57602/10171/4691/10436/79863/6202/80135/54853/23404/27340/51106/2068/6194/55226/102157402/22894/64425/114049/51154/51119/57050/345630/27079/10360/51602/10248/29063/53918/51575/8568/55011
GO:0006364	rRNA processing	218	0.618692950854334	2.78907871020308	1.70779238204249e-26	2.31662036624063e-23	1.91722165836664e-23	2913	tags=58%, list=21%, signal=47%	10885/9221/23246/55813/27292/84128/56915/54680/22984/9136/55759/9188/84154/134430/4809/92856/23160/27043/55003/9875/6155/6154/84549/23481/1736/83732/25879/6209/23517/55127/10799/23560/6165/1662/6218/8886/705/11224/23076/6129/23212/92345/55646/85395/27042/27341/9277/161424/51096/285855/28987/29081/3692/6227/6208/2091/10528/10607/23016/9045/153443/51118/55272/54913/5036/55651/6229/11157/84135/6201/54663/11137/79922/55299/23378/55720/11340/55695/65083/9790/51093/84916/10199/55661/6217/64282/10969/51406/6234/6135/6230/57418/51018/8602/57647/51010/6125/6130/79039/6223/57696/57602/10171/10436/79863/6202/80135/54853/23404/27340/51106/2068/6194/55226/102157402/22894/114049/51154/51119/57050/345630/27079/10360/51602/10248/29063
GO:0002181	cytoplasmic translation	202	0.616475722954608	2.74346361985468	6.7866522922132e-25	7.36487506750977e-22	6.09512814285927e-22	2564	tags=55%, list=18%, signal=46%	200916/7555/10480/6144/8662/8661/6059/8894/6231/8664/6155/6154/9567/1974/6233/6209/6132/55854/16/6152/6165/29110/6218/8891/6168/6139/11224/6129/2197/8668/1981/8531/6227/6208/6173/26986/2107/6128/1973/6189/728689/9045/6222/6141/6164/6193/6160/6229/8669/10399/3646/6201/122830/4733/6228/6136/25873/6157/6204/4736/6301/10973/7458/6133/220717/8890/6176/6206/7375/23352/9349/6188/6124/6156/6207/6159/56888/8562/6161/6142/6217/27335/6175/8473/6122/6234/6135/6170/8666/6181/8087/6230/1975/6137/6125/6130/6223/7532/3921/6210/6138/6134/1938/4690/6166/6009/6202/6187/6203/6143/8667/6194
GO:0042274	ribosomal small subunit biogenesis	104	0.705764360933359	2.84676034984962	1.58149326352832e-21	1.43019707465078e-18	1.18362285301962e-18	2602	tags=68%, list=18%, signal=56%	10885/55813/26574/27292/84128/9136/134430/4809/92856/23160/83732/25879/6233/4869/6209/55127/10799/6218/705/64434/23212/85395/27042/27341/2197/9277/161424/51096/28987/6227/6208/56902/2091/10528/10607/6189/153443/51118/55272/6193/6229/11157/84135/6201/6228/6206/55720/65083/6207/9790/84916/10199/6217/51406/6234/6230/8602/57647/6223/3921/6210/10171/10436/6202/30836/27340/6203/2068/6194/55226/102157402
GO:0007018	microtubule-based movement	364	-0.439892463276923	-2.26493392805013	3.06165545909784e-17	2.37322036015213e-14	1.96406348699419e-14	2969	tags=41%, list=21%, signal=33%	161582/114327/3832/11004/166379/90990/8701/57519/64147/29922/282991/636/23224/79645/92749/25911/24137/26160/89876/26146/10126/28981/10112/79989/285643/23247/55081/84229/6421/56776/22858/3315/7314/27031/57821/151651/9576/27148/138162/126075/729991/1783/129881/84071/55779/221421/54970/324/23162/6687/92104/79582/8632/352909/667/11020/582/54777/200373/4747/57584/63971/51626/54768/345895/642987/1740/221458/115948/25809/22906/9742/145508/389799/79864/150082/54585/10566/91978/64800/9371/220136/57639/27067/3064/1780/84223/55764/89953/85478/22994/401024/80127/26140/403/154865/22902/27152/55036/80208/4133/1770/64792/144535/1062/80173/84074/2342/150737/27285/134121/81930/90506/152110/200162/158787/55083/8100/126820/219681/80258/23059/283629/80217/25790/1768/79819/57560/23557/10013/56912/338/5991/118491/53340/8382/164395/55870/11092/7802/119032/2622/7846/23639/25999/56171/79925/585
GO:0044782	cilium organization	366	-0.432216665185404	-2.22431983171753	8.4521694624439e-17	5.73268393790258e-14	4.74433617457707e-14	2786	tags=39%, list=20%, signal=32%	199221/29922/89765/55717/8556/23224/79645/1641/92749/54558/26160/89876/26146/28981/79989/55081/84229/22858/1540/79734/27031/57821/25941/9576/27148/138162/23300/63917/10677/4735/23116/126075/25776/284001/84071/6674/79969/55779/221421/200728/54970/92104/79582/8632/352909/9342/26123/11020/582/80776/54777/200373/51626/79874/54768/345895/115948/25809/9857/9742/145508/84902/84747/79864/150082/91978/9371/220136/57639/55704/116840/3064/115704/79738/84223/55764/85478/22994/91147/401024/80127/27077/26140/403/154865/27152/55036/8729/80184/79096/64792/144535/283232/128344/80173/127733/150737/27285/123016/90506/129880/136332/2302/65250/200162/1639/8100/126820/23059/84984/80217/79770/6790/79819/57560/145483/10013/79600/56912/80321/5991/118491/8382/5992/1453/54903/11092/1183/1756/170690/7802/2622/84314/23639/56171/79867/4739/9114/79925/57545/585
GO:0060271	cilium assembly	339	-0.436327991860479	-2.23335725316238	1.00912852372068e-15	6.08392374412043e-13	5.03502021309053e-13	2786	tags=39%, list=20%, signal=32%	199221/29922/89765/55717/8556/23224/79645/1641/92749/54558/26160/89876/26146/28981/79989/55081/84229/22858/1540/79734/27031/57821/9576/27148/138162/23300/63917/10677/4735/23116/126075/25776/284001/84071/6674/79969/55779/221421/200728/54970/79582/8632/352909/9342/26123/11020/582/80776/54777/200373/51626/79874/54768/345895/115948/25809/9857/9742/145508/84902/84747/79864/91978/9371/220136/57639/55704/116840/3064/115704/79738/84223/55764/85478/22994/91147/401024/80127/27077/26140/403/154865/27152/55036/8729/80184/64792/144535/283232/80173/127733/150737/27285/123016/90506/129880/136332/2302/65250/200162/1639/8100/126820/23059/84984/80217/79770/79819/57560/10013/79600/56912/80321/5991/118491/8382/5992/1453/54903/11092/1183/1756/170690/7802/2622/84314/23639/56171/79867/9114/79925/57545/585
GO:0003341	cilium movement	150	-0.544791286318335	-2.50881766271628	2.69877414471942e-14	1.46435485092476e-11	1.21189163172348e-11	2842	tags=56%, list=20%, signal=45%	161582/114327/8701/64147/29922/79645/92749/25911/89876/28981/23247/84229/27031/57821/151651/9576/27148/138162/126075/129881/84071/55779/221421/54970/79582/8632/352909/582/54777/200373/54768/345895/642987/115948/25809/145508/389799/79864/54585/10566/91978/64800/220136/57639/84223/85478/22994/401024/80127/26140/154865/55036/1770/144535/84074/27285/134121/90506/152110/200162/158787/126820/219681/80258/283629/80217/25790/1768/79819/338/5991/118491/53340/8382/164395/55870/11092/7802/2622/7846/23639/56171/79925/585
