ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	178	0.716966635647087	3.16045778968193	2.97751730393608e-38	4.48711857703167e-35	3.69212145688074e-35	2798	tags=74%, list=20%, signal=60%	200916/10885/26354/23246/55813/6144/84128/56915/22984/9136/55759/9188/134430/4809/92856/6231/23160/27043/6155/6154/23481/83732/25879/6233/6209/23517/6132/55127/10799/6152/6165/6218/705/6168/6139/11224/6129/51388/27042/27341/2197/9277/51096/28987/6227/6208/56902/6173/2091/10528/6128/10607/6189/23016/9045/6222/51118/55272/6141/6164/6193/54913/6160/6229/84135/6201/6228/6136/25873/6157/6204/4736/6133/1454/116832/6176/6206/55720/9349/6188/6124/6156/26168/11340/65083/6207/6159/9790/84916/10199/6161/6142/6217/6175/10969/6122/6234/6135/6170/6181/6230/57418/6137/8602/57647/51010/6125/6130/6223/3921/6210/6138/6134/10171/4691/10436/6166/6202/54881/6187/23404/27340/6203/6143/6194/6167/22894/114049/6147/57050/6146/81875
R-HSA-8868773	rRNA processing in the nucleus and cytosol	188	0.709864553831047	3.14360005381184	6.04219611780405e-38	4.55279477476535e-35	3.74616159303851e-35	2798	tags=72%, list=20%, signal=59%	200916/10885/26354/23246/55813/6144/27292/84128/56915/22984/9136/55759/9188/134430/4809/92856/6231/23160/27043/6155/6154/23481/1736/83732/25879/6233/6209/23517/6132/55127/10799/6152/6165/6218/705/6168/6139/11224/6129/51388/27042/27341/2197/9277/51096/28987/6227/6208/56902/6173/2091/10528/6128/10607/6189/23016/9045/6222/51118/55272/6141/6164/6193/54913/6160/55651/6229/84135/6201/6228/6136/25873/6157/6204/4736/6133/1454/116832/6176/6206/55720/9349/6188/6124/6156/26168/11340/65083/6207/6159/9790/84916/10199/6161/6142/6217/6175/10969/6122/6234/6135/6170/6181/6230/57418/6137/8602/57647/51010/6125/6130/6223/3921/6210/6138/6134/10171/4691/10436/6166/6202/54881/6187/23404/27340/6203/6143/6194/55226/6167/22894/114049/6147/57050/6146/81875
R-HSA-72312	rRNA processing	205	0.689061426787301	3.07496860334781	5.29434371483744e-37	2.65952532608667e-34	2.18832873546614e-34	2798	tags=68%, list=20%, signal=56%	200916/10885/26354/23246/55813/6144/27292/84128/56915/22984/9136/55759/9188/134430/4809/92856/6231/23160/27043/6155/6154/23481/1736/83732/25879/6233/6209/23517/6132/55127/10799/6152/6165/6218/705/6168/6139/11224/6129/51388/27042/27341/2197/9277/51096/28987/6227/6208/56902/6173/2091/10528/6128/10607/6189/23016/9045/6222/51118/55272/6141/6164/6193/54913/6160/55651/6229/84135/6201/6228/6136/25873/6157/6204/4736/79922/6133/1454/116832/6176/6206/55720/9349/6188/6124/6156/26168/11340/65083/6207/6159/9790/84916/10199/6161/60528/6142/6217/6175/10969/6122/6234/6135/51001/6170/6181/6230/57418/6137/8602/57647/51010/6125/6130/6223/3921/6210/6138/6134/10171/4691/10436/6166/6202/54881/6187/23404/27340/6203/6143/51106/6194/55226/6167/22894/114049/6147/57050/6146/81875
R-HSA-72766	Translation	363	0.567242555085251	2.67644160199308	5.06320085312521e-32	1.90756092141492e-29	1.56959226446882e-29	3404	tags=56%, list=24%, signal=43%	200916/3376/10480/6144/8662/8661/5464/6059/2935/2058/7407/10056/92935/8894/8565/6231/10767/8664/6155/6154/55699/1974/2617/6233/4141/6209/6132/1978/9669/16/3735/6152/6165/51520/6218/6731/8891/6168/6139/10884/11224/4677/58477/6129/2193/2197/8668/79731/1981/60559/9255/6227/6208/6173/54148/833/26986/2107/6128/1977/124454/5684/29074/122704/1973/1615/51069/27068/28977/6189/64928/9045/1965/327/6222/64983/6141/6164/6193/6160/10952/6897/6229/8669/3646/6201/5691/6228/55139/6136/25873/6157/63875/6204/5917/4736/6301/10973/7458/6133/6747/8890/7321/116832/6176/6206/7322/7965/9349/6188/6124/6156/6207/6159/6161/6142/6217/60488/27335/6175/6122/6234/6135/28972/6170/8666/6181/4706/6230/1975/10213/54471/6137/7453/6125/6130/51067/65005/6223/5688/3921/6210/6138/5686/6134/1938/25973/51023/23480/64979/6166/23395/6202/51116/6187/64949/5717/7323/51253/6203/6183/6143/8667/6194/9553/65993/6921/6167/51021/54998/6147/6146/5695/6184/5693/5713/7979/6745/6727/7311/5687/53918/28957/11222/6191/6235/64960/28998/29104/90850/4528/51504/64965/57505/6158/6224/9521/23471/92259/9978/5859/1915
R-HSA-72613	Eukaryotic Translation Initiation	116	0.743381146383544	3.05930966646482	1.50468453677498e-28	3.7792659948665e-26	3.10968137600163e-26	2762	tags=82%, list=20%, signal=66%	200916/10480/6144/8662/8661/8894/6231/8664/6155/6154/1974/6233/6209/6132/1978/9669/6152/6165/6218/8891/6168/6139/11224/6129/2197/8668/1981/6227/6208/6173/26986/6128/1977/1973/6189/9045/1965/6222/6141/6164/6193/6160/6229/8669/3646/6201/6228/6136/25873/6157/6204/4736/7458/6133/8890/116832/6176/6206/9349/6188/6124/6156/6207/6159/6161/6142/6217/27335/6175/6122/6234/6135/6170/8666/6181/6230/1975/6137/6125/6130/6223/3921/6210/6138/6134/6166/6202/6187/6203/6143/8667/6194/6167/6147/6146
R-HSA-72737	Cap-dependent Translation Initiation	116	0.743381146383544	3.05930966646482	1.50468453677498e-28	3.7792659948665e-26	3.10968137600163e-26	2762	tags=82%, list=20%, signal=66%	200916/10480/6144/8662/8661/8894/6231/8664/6155/6154/1974/6233/6209/6132/1978/9669/6152/6165/6218/8891/6168/6139/11224/6129/2197/8668/1981/6227/6208/6173/26986/6128/1977/1973/6189/9045/1965/6222/6141/6164/6193/6160/6229/8669/3646/6201/6228/6136/25873/6157/6204/4736/7458/6133/8890/116832/6176/6206/9349/6188/6124/6156/6207/6159/6161/6142/6217/27335/6175/6122/6234/6135/6170/8666/6181/6230/1975/6137/6125/6130/6223/3921/6210/6138/6134/6166/6202/6187/6203/6143/8667/6194/6167/6147/6146
R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	109	0.746406282904234	3.04081436652275	5.60028912690971e-28	1.20566224489328e-25	9.92051216766862e-26	2762	tags=83%, list=20%, signal=68%	200916/10480/6144/8662/8661/8894/6231/8664/6155/6154/1974/6233/6209/6132/9669/6152/6165/6218/6168/6139/11224/6129/2197/8668/1981/6227/6208/6173/6128/1977/1973/6189/9045/1965/6222/6141/6164/6193/6160/6229/8669/3646/6201/6228/6136/25873/6157/6204/4736/7458/6133/116832/6176/6206/9349/6188/6124/6156/6207/6159/6161/6142/6217/27335/6175/6122/6234/6135/6170/8666/6181/6230/1975/6137/6125/6130/6223/3921/6210/6138/6134/6166/6202/6187/6203/6143/8667/6194/6167/6147/6146
R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	108	0.749124451776188	3.04394388821129	9.15149609204352e-28	1.7239130763387e-25	1.41848189426675e-25	2762	tags=84%, list=20%, signal=68%	200916/10480/6144/8662/8661/8894/6231/8664/6155/6154/1974/6233/6209/6132/6152/6165/6218/6168/6139/11224/6129/2197/8668/1981/6227/6208/6173/26986/6128/1977/1973/6189/9045/1965/6222/6141/6164/6193/6160/6229/8669/3646/6201/6228/6136/25873/6157/6204/4736/7458/6133/116832/6176/6206/9349/6188/6124/6156/6207/6159/6161/6142/6217/27335/6175/6122/6234/6135/6170/8666/6181/6230/1975/6137/6125/6130/6223/3921/6210/6138/6134/6166/6202/6187/6203/6143/8667/6194/6167/6147/6146
R-HSA-72689	Formation of a pool of free 40S subunits	98	0.746022283779859	2.98695664821301	1.44758801188039e-24	2.4239057043375e-22	1.99445459414632e-22	2762	tags=84%, list=20%, signal=68%	200916/10480/6144/8662/8661/6231/8664/6155/6154/6233/6209/6132/6152/6165/6218/6168/6139/11224/6129/2197/8668/6227/6208/6173/6128/6189/9045/6222/6141/6164/6193/6160/6229/8669/3646/6201/6228/6136/25873/6157/6204/4736/6133/116832/6176/6206/9349/6188/6124/6156/6207/6159/6161/6142/6217/27335/6175/6122/6234/6135/6170/8666/6181/6230/6137/6125/6130/6223/3921/6210/6138/6134/6166/6202/6187/6203/6143/8667/6194/6167/6147/6146
R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency	98	0.740473057936541	2.96473841507772	8.17911738249631e-24	1.23259298954219e-21	1.01421055542954e-21	2762	tags=83%, list=20%, signal=67%	200916/6144/1054/8894/6231/6155/6154/6233/10985/6209/6132/468/6152/6165/6218/6168/6139/11224/6129/2197/440/6227/6208/6173/6128/6189/9045/1965/6222/6141/6164/6193/6160/6229/6201/1051/6228/6136/25873/6157/6204/4736/57761/6133/116832/6176/6206/9349/6188/6124/6156/6207/6159/6161/6142/6217/6175/6122/6234/6135/6170/1649/6181/6230/6137/6125/6130/6223/3921/6210/6138/6134/6166/6202/6187/6203/6143/6194/6167/6147/6146
