ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0003341	cilium movement	29/299	150/12060	0.193333333333333	7.79799331103679	13.3579433849702	3.85877000095415e-18	1.09280366427021e-14	1.02277714341079e-14	SPEF2/DNAH7/SPACA9/TTLL9/NME5/CFAP70/APOB/DNAI4/DNAH6/CFAP45/CFAP43/TSSK4/EFHC2/ARMC3/DNAI3/RIBC1/NEK10/LRRC46/CFAP90/TEKT2/QRICH2/CFAP54/DNAH9/IQUB/FSIP2/CFAP53/EFCAB6/ODAD3/RSPH4A	29
GO:0060294	cilium movement involved in cell motility	25/299	119/12060	0.210084033613445	8.47362356313763	13.06331705222	1.08246663054721e-16	1.43564506643042e-13	1.34364937454348e-13	SPEF2/DNAH7/SPACA9/TTLL9/APOB/DNAH6/CFAP45/CFAP43/TSSK4/EFHC2/ARMC3/DNAI3/RIBC1/LRRC46/CFAP90/TEKT2/QRICH2/CFAP54/DNAH9/IQUB/FSIP2/CFAP53/EFCAB6/ODAD3/RSPH4A	25
GO:0001539	cilium or flagellum-dependent cell motility	25/299	122/12060	0.204918032786885	8.26525577060146	12.8597981803566	2.02774726896951e-16	1.43564506643042e-13	1.34364937454348e-13	SPEF2/DNAH7/SPACA9/TTLL9/APOB/DNAH6/CFAP45/CFAP43/TSSK4/EFHC2/ARMC3/DNAI3/RIBC1/LRRC46/CFAP90/TEKT2/QRICH2/CFAP54/DNAH9/IQUB/FSIP2/CFAP53/EFCAB6/ODAD3/RSPH4A	25
GO:0060285	cilium-dependent cell motility	25/299	122/12060	0.204918032786885	8.26525577060146	12.8597981803566	2.02774726896951e-16	1.43564506643042e-13	1.34364937454348e-13	SPEF2/DNAH7/SPACA9/TTLL9/APOB/DNAH6/CFAP45/CFAP43/TSSK4/EFHC2/ARMC3/DNAI3/RIBC1/LRRC46/CFAP90/TEKT2/QRICH2/CFAP54/DNAH9/IQUB/FSIP2/CFAP53/EFCAB6/ODAD3/RSPH4A	25
GO:0030317	flagellated sperm motility	20/299	106/12060	0.188679245283019	7.61027323783682	10.8989543913552	1.16311337014739e-12	6.58787412851484e-10	6.1657251916445e-10	SPEF2/SPACA9/TTLL9/APOB/CFAP45/CFAP43/TSSK4/EFHC2/ARMC3/RIBC1/LRRC46/CFAP90/TEKT2/QRICH2/CFAP54/IQUB/FSIP2/CFAP53/EFCAB6/ODAD3	20
GO:0097722	sperm motility	20/299	107/12060	0.186915887850467	7.53914918888507	10.8328764905699	1.39886340879473e-12	6.60263528951111e-10	6.17954046200898e-10	SPEF2/SPACA9/TTLL9/APOB/CFAP45/CFAP43/TSSK4/EFHC2/ARMC3/RIBC1/LRRC46/CFAP90/TEKT2/QRICH2/CFAP54/IQUB/FSIP2/CFAP53/EFCAB6/ODAD3	20
GO:0007018	microtubule-based movement	33/299	364/12060	0.0906593406593407	3.65669447609247	8.20621217292116	1.03108573261246e-10	4.17147827822643e-08	3.90417124017772e-08	SPEF2/DNAH7/SPACA9/TTLL9/NME5/CFAP70/APOB/DNAI4/DNAH6/CFAP45/CFAP43/TSSK4/EFHC2/ARMC3/DNAI3/RIBC1/NEK10/LRRC46/CFAP90/TEKT2/QRICH2/CFAP54/DNAH9/MAP2/IQUB/FSIP2/DYNC1I1/CFAP53/EFCAB6/ODAD3/KIF6/DLG2/RSPH4A	33
GO:0035082	axoneme assembly	13/299	72/12060	0.180555555555556	7.28260869565217	8.52514960283038	1.96962502273338e-08	6.97247258047615e-06	6.52567869374032e-06	SPEF2/DNAH7/SPACA9/DNAI4/CFAP43/DNAI3/FOXJ1/LRGUK/LRRC46/TEKT2/FSIP2/ODAD3/RSPH4A	13
GO:0003351	epithelial cilium movement involved in extracellular fluid movement	10/299	41/12060	0.24390243902439	9.83767028305735	9.03784049411819	4.28722456376199e-08	1.34904666273044e-05	1.26260016977224e-05	SPEF2/NME5/CFAP45/CFAP43/NEK10/CFAP54/DNAH9/CFAP53/ODAD3/RSPH4A	10
GO:0006858	extracellular transport	10/299	44/12060	0.227272727272727	9.16692003648525	8.65314136029424	8.88370930073292e-08	2.51586647396756e-05	2.35465052834163e-05	SPEF2/NME5/CFAP45/CFAP43/NEK10/CFAP54/DNAH9/CFAP53/ODAD3/RSPH4A	10
