ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-9958863	SLC-mediated transport of amino acids	12/367	29/7999	0.413793103448276	9.01888565254158	9.48611553989632	1.86389301175572e-09	1.54703119975725e-06	1.45579854181342e-06	SLC1A5/SLC7A1/SLC7A2/SLC7A7/SLC6A15/SLC38A2/SLC7A5/SLC1A3/SLC6A6/SLC1A4/SLC7A11/SLC38A4	12
R-HSA-352230	Amino acid transport across the plasma membrane	11/367	25/7999	0.44	9.59008174386921	9.43265035422011	4.08320477575618e-09	1.69452998193882e-06	1.59459891769005e-06	SLC1A5/SLC7A1/SLC7A2/SLC7A7/SLC6A15/SLC38A2/SLC7A5/SLC6A6/SLC1A4/SLC7A11/SLC38A4	11
R-HSA-425407	SLC-mediated transmembrane transport	23/367	150/7999	0.153333333333333	3.34199818346957	6.3493544206344	2.87090564120795e-07	7.94283894067534e-05	7.47442802026773e-05	SLC6A9/SLC40A1/SLC1A5/SLC7A1/SLC39A14/SLC7A2/SLC7A7/SLC6A15/SLC38A2/SLC7A5/SLC1A3/SLC4A7/SLC6A6/SLC16A7/SLC2A3/SLC8A2/SLC1A4/SLC16A3/RUNX1/SLC8A1/SLC7A11/SLC38A4/SLC15A3	23
R-HSA-416700	Other semaphorin interactions	7/367	15/7999	0.466666666666667	10.1712988192552	7.79598079211445	1.89088972649182e-06	0.000390396254376675	0.000367373520288513	SEMA3E/PLXNA2/PLXNA4/PLXNC1/PLXND1/SEMA5A/SEMA7A	7
R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	43/367	446/7999	0.0964125560538117	2.10137339475324	5.2486404057429	2.35178466491973e-06	0.000390396254376675	0.000367373520288513	SPINT1/LAMC2/SPRY1/KIT/SPRY2/ESRP1/PDGFB/EGR1/DUSP6/PTPN3/FGF18/TGFA/F3/PDGFA/THBS1/KDR/NRG1/PRDM1/TRIB1/ADAM12/GABRG3/FLT1/PGF/ESRP2/DUSP7/NGF/ADCYAP1R1/VEGFA/TRIB3/NRG3/MYC/FOSL1/ITPR3/SH2B3/MAPK13/CXCL12/VEGFC/DUSP4/FOS/HBEGF/CAV1/ITGA3/JAK3	43
R-HSA-500792	GPCR ligand binding	20/367	136/7999	0.147058823529412	3.20524122455522	5.6876906855534	3.38201168956517e-06	0.000428495777164682	0.00040322621009029	LPAR1/FZD8/RAMP2/F2RL1/ADM2/ADRA2B/APLN/EDN1/LPAR3/ADM/F2RL2/OPRD1/ADCYAP1R1/CXCL16/S1PR3/GRM4/ADRA1D/CXCL12/FZD9/FZD5	20
R-HSA-9830369	Kidney development	9/367	29/7999	0.310344827586207	6.76416423940618	6.81884370662088	3.61381980741298e-06	0.000428495777164682	0.00040322621009029	NPNT/IRX2/FOXC1/FOXC2/RET/GATA3/JAG1/PCDH19/SIX1	9
R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	12/367	68/7999	0.176470588235294	3.84628946946626	5.16861398822469	5.15705737054563e-05	0.0053504470219411	0.00503491653808534	PIM1/GATA3/IL4R/OPRD1/TWIST1/VEGFA/MYC/FOS/TGFB1/LIF/HMOX1/JAK3	12
R-HSA-372790	Signaling by GPCR	31/367	323/7999	0.0959752321981424	2.09184164128867	4.39236055705984	7.13538120833957e-05	0.00658040711435761	0.0061923425223251	LPAR1/FZD8/RAMP2/PRKCH/ARHGEF19/F2RL1/ADM2/ADRA2B/APLN/EDN1/RGS16/GPR176/LPAR3/ADM/RGS20/F2RL2/OPRD1/RGS10/ADCYAP1R1/CXCL16/S1PR3/GRM4/ITPR3/GRK5/ADRA1D/PDE1C/CXCL12/RASGRP2/FZD9/HBEGF/FZD5	31
R-HSA-9818027	NFE2L2 regulating anti-oxidant/detoxification enzymes	6/367	18/7999	0.333333333333333	7.26521344232516	5.83509618617137	0.000103881297101267	0.00862214765940512	0.00811367604727787	TXN/TXNRD1/GCLM/SLC7A11/SRXN1/HMOX1	6
