Geneid	gene_name	gene_biotype	baseMean	log2FoldChange	pvalue	padj	direction
ENSG00000168646	AXIN2	protein_coding	873.710900257117	-2.28852287948251	2.00845140788987e-108	3.07052051238203e-104	Lower_in_PD
ENSG00000169218	RSPO1	protein_coding	148.455876328909	-3.56630502046037	1.41529454965657e-84	7.21234102504987e-81	Lower_in_PD
ENSG00000154856	APCDD1	protein_coding	280.050637728253	-2.46592226922101	3.57518316513879e-52	6.83217502858022e-49	Lower_in_PD
ENSG00000107984	DKK1	protein_coding	107.27722254123	-3.06858520269755	0.000170974484175906	0.00136851199690118	Lower_in_PD
ENSG00000125084	WNT1	protein_coding	95.9736144747075	-1.86156817493855	0.00127071231500281	0.00722180292630592	Lower_in_PD
ENSG00000134245	WNT2B	protein_coding	3471.17769635357	-2.21173445534709	0.000512272917028155	0.00345309892218978	Lower_in_PD
ENSG00000154342	WNT3A	protein_coding	332.779351874148	-2.14099666188035	6.02900600436019e-20	9.50221070048026e-18	Lower_in_PD
ENSG00000162552	WNT4	protein_coding	199.406731488688	-3.79590791688185	9.68648127914107e-07	1.5804367747653e-05	Lower_in_PD
ENSG00000143816	WNT9A	protein_coding	119.612431689391	-1.77081192854258	1.91638482906557e-09	6.04590218209838e-08	Lower_in_PD
ENSG00000169884	WNT10B	protein_coding	67.2222018859128	-2.33981776935171	8.17795395092198e-18	1.05062655463609e-15	Lower_in_PD
ENSG00000129654	FOXJ1	protein_coding	122.016347230205	-2.3871467821438	4.192094158001e-05	0.000414545507681237	Lower_in_PD
ENSG00000080298	RFX3	protein_coding	590.366756795637	-0.725087302206521	7.32457233062483e-07	1.23188186788331e-05	Lower_in_PD
ENSG00000032742	IFT88	protein_coding	182.879346418392	-0.588547555695238	2.19921360111803e-05	0.000240154125242089	Lower_in_PD
ENSG00000138002	IFT172	protein_coding	317.824657153786	-0.217257905673594	0.0509800236514599	0.13017915509997	Lower_in_PD
ENSG00000122970	IFT81	protein_coding	480.001885581235	-0.407699273973188	0.0453251046802304	0.119388387379628	Lower_in_PD
ENSG00000118096	IFT46	protein_coding	212.71781363071	-0.483127547222025	1.08570347517907e-06	1.74534539732256e-05	Lower_in_PD
ENSG00000096872	IFT74	protein_coding	278.0775639886	-0.435393961288136	0.000170891072976155	0.00136851199690118	Lower_in_PD
ENSG00000101350	KIF3B	protein_coding	955.271270798635	-0.385347792422992	0.00152114520641483	0.00838329773456017	Lower_in_PD
ENSG00000140463	BBS4	protein_coding	341.509315430823	-0.636446708486452	1.86657579803138e-15	1.70875513774274e-13	Lower_in_PD
ENSG00000198707	CEP290	protein_coding	726.461561957281	-0.204650133382762	0.000471896311433533	0.00321925515805259	Lower_in_PD
ENSG00000273079	GRIN2B	protein_coding	42.7292032134931	-1.39849254525961	2.19258631974597e-06	3.21691551403804e-05	Lower_in_PD
ENSG00000161509	GRIN2C	protein_coding	12.7998796247294	-2.02884986418117	5.44901635203923e-09	1.50914061576043e-07	Lower_in_PD
ENSG00000198785	GRIN3A	protein_coding	12.609422217629	-1.16517979835006	0.00403450983202892	0.0185112804057797	Lower_in_PD
ENSG00000150672	DLG2	protein_coding	56.5190457628461	-1.26701809196118	0.00499696027788103	0.0220918243864214	Lower_in_PD
ENSG00000178568	ERBB4	protein_coding	345.007512493522	-3.62087484201741	6.9389677040889e-06	8.79626353732264e-05	Lower_in_PD
ENSG00000163584	RPL22L1	protein_coding	174.954429899349	1.27182738138199	1.35670195133778e-30	7.68194793779704e-28	Higher_in_PD
ENSG00000165732	DDX21	protein_coding	2122.88353614864	1.04877706118987	6.64626223403179e-13	4.07165682151674e-11	Higher_in_PD
ENSG00000181163	NPM1	protein_coding	5025.12568710951	0.562045711199814	1.58903112607599e-08	4.00876367251646e-07	Higher_in_PD
ENSG00000151247	EIF4E	protein_coding	372.040271185447	0.39450507769369	4.43864881815568e-05	0.000434987584179256	Higher_in_PD
ENSG00000114867	EIF4G1	protein_coding	6255.47554951484	0.322604914447541	1.20798552746037e-05	0.000142363761695866	Higher_in_PD
ENSG00000137154	RPS6	protein_coding	8209.6757050238	0.22817344003045	0.0226486341758747	0.0704767594709491	Higher_in_PD
ENSG00000060982	BCAT1	protein_coding	3581.73842533444	1.42614690678413	4.55677364881869e-54	9.95199364902001e-51	Higher_in_PD
ENSG00000159399	HK2	protein_coding	468.095203668781	1.43946811984497	1.99550917156866e-28	8.71638406141189e-26	Higher_in_PD
