Geneid	gene_name	stat	ENTREZID	SYMBOL	Database	Pathway_ID	Pathway	NES	p_adjust	Direction
ENSG00000065183	WDR3	10.8523932320542	10885	WDR3	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
ENSG00000166197	NOLC1	10.1717473643758	9221	NOLC1	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
ENSG00000261236	BOP1	8.5723101438811	23246	BOP1	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
ENSG00000108651	UTP6	8.46758169497542	55813	UTP6	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
ENSG00000275700	AATF	8.12348422986244	26574	AATF	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
ENSG00000086189	DIMT1	8.00583305806857	27292	DIMT1	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
ENSG00000115368	WDR75	7.74207739970812	84128	WDR75	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
ENSG00000077348	EXOSC5	7.55407131077948	56915	EXOSC5	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
ENSG00000117174	ZNHIT6	7.45787083751403	54680	ZNHIT6	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
ENSG00000148843	PDCD11	7.37842030103843	22984	PDCD11	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
ENSG00000114767	RRP9	7.20914680954931	9136	RRP9	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
ENSG00000138442	WDR12	7.19195591986127	55759	WDR12	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
ENSG00000165732	DDX21	7.18652192335069	9188	DDX21	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
ENSG00000197498	RPF2	6.97531933957432	84154	RPF2	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
ENSG00000134987	WDR36	6.82918335172519	134430	WDR36	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
ENSG00000100138	SNU13	6.68247181347062	4809	SNU13	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
ENSG00000136718	IMP4	6.55399687887228	92856	IMP4	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
ENSG00000108561	C1QBP	6.43742657892867	708	C1QBP	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
ENSG00000137876	RSL24D1	6.26402190556856	51187	RSL24D1	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
ENSG00000163811	WDR43	6.2542793485363	23160	WDR43	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
ENSG00000141456	PELP1	6.13482677127779	27043	PELP1	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
ENSG00000130119	GNL3L	6.1033090637776	54552	GNL3L	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
ENSG00000111845	PAK1IP1	6.05987071700376	55003	PAK1IP1	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
ENSG00000142207	URB1	6.03522458488886	9875	URB1	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
ENSG00000131469	RPL27	6.0282591383798	6155	RPL27	GO_BP	GO:0042254	ribosome biogenesis	2.76957989271065	2.03838853633683e-28	PD_enriched
